통계표,코드(구분코드),구분코드,코드(계정항목),계정항목,단위,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03
9.1.6.1. 주요국제금리,IRLT,장기금리,BRA,브라질,% ,원자료,4.39,4.39,4.39,4.61,4.61,4.61,4.88,4.88,4.88,5.32,5.32,5.32,6.08,6.08,6.08,6.82,6.82,6.82,7.01,7.01,7.01,7.2,7.2,7.2,7.37,7.37,7.37,7.28,7.28,7.28,7,7,7,6.55,6.55,6.55,6.53,6.53,6.53,6.67,6.67,6.67,6.91,6.91,6.91,7.43,7.43,7.43,7.97,7.97,7.97
9.1.6.1. 주요국제금리,IRLT,장기금리,AUS,오스트레일리아,% ,원자료,1.05,1.33,1.71,1.68,1.66,1.53,1.25,1.14,1.28,1.71,1.81,1.61,1.89,2.11,2.5,3.01,3.38,3.77,3.43,3.36,3.75,3.92,3.7,3.55,3.6,3.7,3.47,3.34,3.5,3.92,4.04,4.13,4.21,4.63,4.58,4.19,4.15,4.14,4.05,4.27,4.33,4.24,4.33,3.98,3.92,4.27,4.54,4.31,4.48,4.44,
9.1.6.1. 주요국제금리,IRLT,장기금리,MEX,멕시코,% ,원자료,5.61,,6.25,6.68,,6.54,6.9,6.98,,7.61,7.54,7.57,,7.68,8.6,8.86,8.87,9.22,8.78,,9.1,9.52,9.75,8.94,8.69,9.38,,8.89,8.76,8.57,,9.1,9.68,,10.23,9.39,9.31,,9.2,9.85,9.64,,9.95,9.74,9.21,10.06,10.02,10.43,10.33,9.85,
9.1.6.1. 주요국제금리,IRLT,장기금리,IDN,인도네시아,% ,원자료,6.21,6.6,6.77,6.45,6.38,6.56,6.24,6.04,6.35,6.16,6.25,6.35,6.41,6.5,6.71,6.96,7.06,7.17,7.11,7.11,7.34,7.5,6.89,6.91,6.69,6.86,6.77,6.45,6.36,6.22,6.33,6.36,6.91,7.05,6.6,6.6,6.56,6.6,6.68,7.22,6.9,7.03,6.89,6.62,6.43,6.76,6.82,7.01,,,
9.1.6.1. 주요국제금리,IRLT,장기금리,CHE,스위스,% ,원자료,-0.45,-0.23,-0.27,-0.21,-0.13,-0.2,-0.37,-0.35,-0.17,-0.05,-0.23,-0.13,0.05,0.26,0.68,0.82,0.78,1.15,0.52,0.79,1.16,1.12,1.06,1.57,1.26,1.45,1.23,1.08,0.85,0.97,0.98,0.95,1.09,1.05,0.82,0.66,0.83,0.83,0.64,0.69,0.92,0.56,0.45,0.45,0.41,0.45,0.29,0.32,0.38,0.4,
9.1.6.1. 주요국제금리,IRLT,장기금리,SWE,스웨덴,% ,원자료,0.07,0.25,0.4,0.37,0.42,0.36,0.18,0.11,0.27,0.38,0.27,0.14,0.36,0.61,0.82,1.47,1.77,1.86,1.53,1.61,2.08,2.2,2.01,1.97,2.08,2.37,2.35,2.37,2.32,2.46,2.52,2.75,2.89,3.02,2.75,2.21,2.23,2.43,2.4,2.51,2.38,2.26,2.13,1.93,1.93,2.04,2.07,2.1,2.32,2.26,
9.1.6.1. 주요국제금리,IRLT,장기금리,NOR,노르웨이,% ,원자료,1.01,1.28,1.46,1.42,1.47,1.47,1.24,1.23,1.42,1.68,1.61,1.71,1.91,2.12,2.53,2.69,2.64,3.13,2.91,3.34,3.42,3.6,3.12,3.14,2.88,3.15,2.97,3.18,3.33,3.57,3.67,3.77,3.89,3.95,3.68,3.29,3.5,3.7,3.61,3.74,3.68,3.54,3.54,3.3,3.3,3.54,3.67,3.6,3.88,3.88,
9.1.6.1. 주요국제금리,IRLT,장기금리,ZAF,남아프리카 공화국,% ,원자료,9.71,9.5,10.09,10.03,9.82,9.53,9.62,9.57,9.62,10.06,10.02,9.9,9.83,9.65,10.1,10.11,10.32,10.94,11.42,10.92,11.25,11.63,11.28,11.38,10.97,11.05,11.19,11.26,11.94,11.94,11.72,11.72,12.06,12.36,11.79,11.49,11.42,11.61,11.9,12.27,12.04,11.68,11.02,10.7,10.3,10.46,10.37,10.25,10.42,10.5,
9.1.6.1. 주요국제금리,IRLT,장기금리,DNK,덴마크,% ,원자료,-0.44,-0.28,-0.03,0,0.11,0.11,-0.05,-0.16,-0.01,0.1,0.01,-0.08,0.11,0.46,0.57,1.04,1.3,1.84,1.59,1.38,2.2,2.6,2.38,2.29,2.43,2.55,2.55,2.6,2.54,2.57,2.74,2.84,2.95,3.13,2.87,2.36,2.4,2.48,2.39,2.48,2.52,2.52,2.45,2.2,2.11,2.1,2.07,1.91,2.21,2.17,
9.1.6.1. 주요국제금리,IRLT,장기금리,NZL,뉴질랜드,% ,원자료,1.04,1.46,1.76,1.68,1.81,1.76,1.59,1.65,1.87,2.21,2.57,2.38,2.56,2.74,3.07,3.47,3.64,3.98,3.67,3.57,4.07,4.41,4.29,4.2,4.14,4.31,4.35,4.11,4.23,4.48,4.65,4.9,5.05,5.46,5.1,4.71,4.65,4.81,4.65,4.83,4.75,4.64,4.51,4.22,4.19,4.39,4.62,4.49,4.65,4.62,
