차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,Overseas Plants,차량 구분
Santa-Fe (MX5 HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4669.0,6949.0,5616.0,2023,0,
Palisade (LX2),내수,3922,3539.0,4820.0,4096.0,3553.0,3164.0,3264.0,3752.0,2935.0,2825.0,3157.0,2066.0,2023,0,
GV60 (JW),내수,7,210.0,716.0,530.0,598.0,422.0,227.0,127.0,104.0,111.0,96.0,50.0,2023,0,
GV70 (JK),내수,1146,2291.0,2675.0,2446.0,2288.0,3781.0,3209.0,2833.0,2743.0,3467.0,2819.0,2617.0,2023,0,
GV70 (JK EV),내수,3,177.0,302.0,320.0,327.0,247.0,206.0,94.0,121.0,240.0,91.0,31.0,2023,0,
GV80 (JX),내수,1881,1673.0,2786.0,2916.0,2737.0,2572.0,1900.0,1692.0,1507.0,885.0,3874.0,4437.0,2023,0,
LCV,내수,9542,14515.0,14262.0,12475.0,11628.0,11751.0,11912.0,8927.0,8414.0,11843.0,12597.0,9589.0,2023,0,
HCV,내수,1178,1227.0,2579.0,1826.0,2443.0,2550.0,2154.0,2209.0,2047.0,2347.0,2468.0,2124.0,2023,0,
Avante (CN7),수출,13012,15452.0,14486.0,14714.0,14232.0,15191.0,13160.0,13015.0,11833.0,15295.0,14959.0,14060.0,2023,0,
Avante (CN7 HEV),수출,2492,2792.0,2794.0,3416.0,2671.0,2715.0,2857.0,2574.0,2615.0,2929.0,2776.0,3758.0,2023,0,
Avante (CN7 N),수출,719,450.0,307.0,584.0,382.0,681.0,234.0,119.0,377.0,553.0,586.0,205.0,2023,0,
IONIQ (AE HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
IONIQ (AE PHEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
IONIQ (AE EV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0,
i30 (PD),수출,1564,1107.0,1523.0,1863.0,1070.0,1280.0,1452.0,1538.0,493.0,1278.0,699.0,1412.0,2023,0,
