차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,Overseas Plants,차량 구분
Santa-Fe (TMid),내수,116,23.0,22.0,37.0,27.0,82.0,36.0,42.0,9.0,17.0,31.0,145.0,2024,HMMI,
Santa-Fe (MX5id),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,3.0,2024,HMMI,
Santa-Fe (MX5id HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,115.0,171.0,2024,HMMI,
Creta (SU2id),내수,1013,877.0,584.0,220.0,193.0,429.0,346.0,449.0,393.0,323.0,108.0,1066.0,2024,HMMI,
Stargazer (KS),수출,492,1318.0,1688.0,1363.0,1986.0,1529.0,2285.0,2230.0,2065.0,1151.0,1012.0,654.0,2024,HMMI,
Kona EV (SX2id EV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024,HMMI,
IONIQ5 (NE),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMI,
IONIQ5 (NEid N),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMI,
Santa-Fe (TMid),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMI,
Santa-Fe (MX5id),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMI,
Santa-Fe (MX5id HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMI,
Creta (SU2id),수출,3012,3147.0,4183.0,2232.0,3459.0,4399.0,4076.0,4458.0,5205.0,2989.0,3328.0,4181.0,2024,HMMI,
HTBC,내수,50,50.0,91.0,94.0,83.0,62.0,80.0,93.0,106.0,162.0,120.0,76.0,2024,HTBC,
HTBC,수출,60,90.0,68.0,86.0,90.0,121.0,120.0,122.0,101.0,220.0,47.0,11.0,2024,HTBC,
NX4m,내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,KMX,
HCm,내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,KMX,
NX4m,수출,0,0.0,0.0,0.0,0.0,809.0,2378.0,2821.0,2637.0,3048.0,2700.0,2097.0,2024,KMX,
HCm,수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,KMX,
Others,수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,Others,
CV,내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,Russia,
i10(AI3v 4DR),내수,30,120.0,118.0,2.0,0.0,142.0,32.0,45.0,60.0,50.0,3.0,30.0,2024,Vietnam,
i10(AI3v 5DR),내수,387,359.0,301.0,28.0,5.0,270.0,490.0,621.0,560.0,907.0,389.0,301.0,2024,Vietnam,
Accent (HCv),내수,896,775.0,1178.0,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,Vietnam,
Accent (BN7v),내수,0,0.0,0.0,0.0,623.0,828.0,1557.0,1551.0,1539.0,1592.0,1220.0,615.0,2024,Vietnam,
Elantra (CN7v),내수,151,90.0,87.0,130.0,255.0,223.0,123.0,41.0,227.0,115.0,66.0,65.0,2024,Vietnam,
Venue (QXv),내수,60,4.0,316.0,508.0,698.0,189.0,62.0,40.0,360.0,350.0,290.0,287.0,2024,Vietnam,
Creta (SU2v),내수,388,316.0,821.0,570.0,660.0,563.0,684.0,694.0,663.0,958.0,988.0,444.0,2024,Vietnam,
Tucson (NX4v),내수,174,153.0,325.0,458.0,535.0,380.0,439.0,500.0,248.0,904.0,1182.0,634.0,2024,Vietnam,
Santa Fe (TMv),내수,57,394.0,448.0,349.0,840.0,615.0,416.0,593.0,13.0,2.0,0.0,0.0,2024,Vietnam,
Santa Fe HEV (TMv HEV),내수,30,0.0,5.0,30.0,0.0,0.0,0.0,0.0,90.0,24.0,1.0,0.0,2024,Vietnam,
Palisade (LX2v),내수,186,208.0,96.0,120.0,270.0,93.0,91.0,51.0,150.0,284.0,76.0,74.0,2024,Vietnam,
Kusto (KUv),내수,422,207.0,89.0,152.0,410.0,147.0,121.0,126.0,411.0,246.0,88.0,7.0,2024,Vietnam,
IONIQ5 (NEv),내수,30,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,2024,Vietnam,
Porter (HRv),내수,268,181.0,297.0,70.0,447.0,193.0,339.0,0.0,342.0,268.0,62.0,291.0,2024,Vietnam,
Mighty (LTv),내수,157,113.0,150.0,240.0,90.0,153.0,71.0,198.0,93.0,119.0,210.0,1.0,2024,Vietnam,
Mighty (VTv),내수,180,12.0,168.0,266.0,154.0,240.0,153.0,156.0,278.0,228.0,0.0,66.0,2024,Vietnam,
Mighty (QTv),내수,30,30.0,0.0,0.0,30.0,60.0,0.0,90.0,0.0,61.0,0.0,0.0,2024,Vietnam,
Mighty (QTc),내수,0,0.0,30.0,21.0,39.0,30.0,0.0,28.0,2.0,0.0,0.0,0.0,2024,Vietnam,
Santa Fe (MX5v),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,630.0,1053.0,418.0,2024,Vietnam,
Mighty (LTv),수출,60,30.0,0.0,60.0,60.0,0.0,0.0,30.0,60.0,20.0,10.0,60.0,2024,Vietnam,
Truck,총계,222,129.0,160.0,197.0,324.0,254.0,158.0,323.0,135.0,344.0,278.0,90.0,2024,Vietnam,
IONIQ5 (NE),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,Singapore,
IONIQ6 (CE),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,7.0,12.0,2024,Singapore,
IONIQ5 (NE),수출,20,49.0,82.0,74.0,46.0,38.0,52.0,40.0,18.0,21.0,10.0,9.0,2024,Singapore,
IONIQ5 Robotaxi (NE R),수출,0,24.0,0.0,0.0,3.0,0.0,13.0,6.0,0.0,0.0,1.0,0.0,2024,Singapore,
PV,총계,5080,4010.0,4905.0,4945.0,5116.0,4534.0,5125.0,4443.0,5375.0,5567.0,5644.0,5348.0,2024,CKD,
CV,총계,30,20.0,25.0,34.0,44.0,25.0,50.0,101.0,97.0,40.0,9.0,0.0,2024,CKD,
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,0,
Avante (CN7),내수,4086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Avante (CN7 HEV),내수,1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Avante (CN7 N),내수,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ (AE HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ (AE PHEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ (AE EV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Veloster (JS N),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Sonata (LF),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Sonata (DN8),내수,1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Sonata (DN8 HEV),내수,517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (IG),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (IG HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (GN7),내수,2613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (GN7 HEV),내수,3098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ 6 (CE),내수,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G70 (IK),내수,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G70 S/B (IK S/B),내수,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G80 (RG3),내수,2710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G80 (RG3 EV),내수,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G90,내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G90 (RS4),내수,554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Casper (AX),내수,740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Casper (AX EV),내수,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Venue (QX),내수,694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (OS),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (OS HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (OS EV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (OS N),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (SX2),내수,1510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (SX2 HEV),내수,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (SX2 EV),내수,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Tucson (TL),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Tucson (NX4),내수,2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Tucson (NX4 HEV),내수,1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
NEXO (FE),내수,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ 5 (NE),내수,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ 5 N (NE N),내수,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (TM),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (TM HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (MX5),내수,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (MX5 HEV),내수,3814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Palisade (LX2),내수,1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Palisade (LX3),내수,1234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Palisade (LX3 HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV60 (JW),내수,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV70 (JK),내수,2734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV70 (JK EV),내수,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV80 (JX),내수,2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV80 Coupe (JX Coupe),내수,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
LCV,내수,5826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
HCV,내수,1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Avante (CN7),수출,10264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Avante (CN7 HEV),수출,3720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Avante (CN7 N),수출,667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ (AE HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ (AE PHEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ (AE EV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
i30 (PD),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Veloster (JS N),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Sonata (DN8),수출,5386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Sonata (DN8 HEV),수출,1770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (IG),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (IG HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (GN7),수출,277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Grandeur (GN7 HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ 6 (CE),수출,682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G70 (IK),수출,894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G70 S/B (IK S/B),수출,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G80 (RG3),수출,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G80 (RG3 EV),수출,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G90 (HI),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
G90 (RS4),수출,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Casper (AX),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Casper EV (AX EV),수출,2867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Venue (QX),수출,5314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (OS),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (OS HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (OS EV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona N (OS N),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (SX2),수출,12202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (SX2 HEV),수출,6421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Kona (SX2 EV),수출,1680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Tucson (TL),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Tucson (NX4),수출,2558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Tucson (NX4 HEV),수출,5908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Tucson (NX4 PHEV),수출,851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
NEXO (FE),수출,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ 5 (NE),수출,2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ 5 N (NE N),수출,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
IONIQ New Car (ME),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (TM),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (TM HEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (TM PHEV),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (MX5),수출,972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (MX5 HEV),수출,1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Santa-Fe (MX5 PHEV),수출,778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Palisade (LX2),수출,10942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Palisade (LX3),수출,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
Palisade (LX3 HEV),수출,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV60 (JW),수출,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV70 (JK),수출,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV70 EV (JK EV),수출,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV80 (JX),수출,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
GV80 Coupe (JX Coupe),수출,370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
LCV,수출,2891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
HCV,수출,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0,
