해외 공장,차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,공장 국가,공장명(국가),공장 코드
HMMI,Stargazer (KS),내수,994,2009.0,1772.0,574.0,1005.0,513.0,689.0,1684.0,1473.0,1751.0,812.0,877.0,2023,인도네시아,,
HMMI,IONIQ5 (NE),내수,242,201.0,649.0,950.0,974.0,1023.0,499.0,431.0,675.0,638.0,527.0,542.0,2023,인도네시아,,
HMMI,Santa-Fe (TMid),내수,154,110.0,27.0,128.0,86.0,65.0,77.0,44.0,86.0,20.0,15.0,52.0,2023,인도네시아,,
HMMI,Creta (SU2id),내수,610,680.0,1052.0,429.0,999.0,559.0,262.0,212.0,72.0,493.0,630.0,447.0,2023,인도네시아,,
HMMI,Stargazer (KS),수출,0,115.0,541.0,455.0,540.0,1054.0,619.0,654.0,1214.0,1119.0,1141.0,924.0,2023,인도네시아,,
HMMI,IONIQ5 (NE),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,인도네시아,,
HMMI,Santa-Fe (TMid),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,인도네시아,,
HMMI,Creta (SU2id),수출,4084,3502.0,3079.0,2623.0,4045.0,4888.0,4569.0,4750.0,3530.0,2733.0,4851.0,3408.0,2023,인도네시아,,
HTBC,HTBC,내수,60,80.0,52.0,40.0,49.0,61.0,65.0,50.0,31.0,24.0,60.0,111.0,2023,태국,,
HTBC,HTBC,수출,80,0.0,81.0,65.0,74.0,37.0,145.0,231.0,250.0,60.0,61.0,233.0,2023,태국,,
Others,Others,총계,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,기타,,
Russia,CV,내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,러시아,,
Vietnam,i10(AI3v 4DR),내수,198,51.0,74.0,30.0,179.0,0.0,134.0,99.0,92.0,90.0,91.0,72.0,2023,베트남,,
Vietnam,i10(AI3v 5DR),내수,361,653.0,640.0,562.0,150.0,428.0,447.0,393.0,471.0,409.0,588.0,628.0,2023,베트남,,
Vietnam,Accent (HCv),내수,891,1571.0,1670.0,933.0,1525.0,785.0,981.0,1338.0,1335.0,1746.0,1737.0,1062.0,2023,베트남,,
Vietnam,Elantra (ADv),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,베트남,,
Vietnam,Elantra (CN7v),내수,57,147.0,297.0,290.0,332.0,53.0,172.0,222.0,157.0,211.0,175.0,45.0,2023,베트남,,
Vietnam,Kona (OSv),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,2023,베트남,,
Vietnam,Creta (SU2v),내수,0,0.0,0.0,0.0,567.0,1148.0,654.0,464.0,230.0,724.0,803.0,454.0,2023,베트남,,
Vietnam,Tucson (TLv),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,베트남,,
Vietnam,Tucson (NX4v),내수,296,763.0,954.0,470.0,675.0,32.0,109.0,40.0,88.0,610.0,616.0,391.0,2023,베트남,,
Vietnam,Santa Fe (TMv),내수,1058,528.0,413.0,259.0,295.0,22.0,222.0,419.0,330.0,520.0,451.0,179.0,2023,베트남,,
Vietnam,Santa Fe HEV (TMv HEV),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,11.0,7.0,12.0,10.0,2023,베트남,,
Vietnam,Palisade (LX2v),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,147.0,139.0,245.0,2023,베트남,,
Vietnam,Kusto (KUv),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,368.0,604.0,666.0,2023,베트남,,
Vietnam,IONIQ5 (NEv),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,0.0,1.0,1.0,2023,베트남,,
Vietnam,Porter (HRv),내수,360,90.0,450.0,346.0,208.0,191.0,406.0,213.0,286.0,264.0,186.0,60.0,2023,베트남,,
Vietnam,Mighty (LTv),내수,80,130.0,209.0,121.0,60.0,60.0,60.0,90.0,90.0,121.0,120.0,31.0,2023,베트남,,
Vietnam,Mighty (VTv),내수,240,300.0,120.0,0.0,150.0,149.0,88.0,118.0,247.0,85.0,32.0,150.0,2023,베트남,,
Vietnam,Mighty (QTv),내수,90,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,2023,베트남,,
Vietnam,Mighty (QTc),내수,59,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,베트남,,
Vietnam,Truck,내수,79,192.0,219.0,192.0,147.0,180.0,221.0,182.0,243.0,189.0,275.0,274.0,2023,베트남,,
Singapore,IONIQ5 (NE),내수,0,0.0,0.0,0.0,0.0,33.0,58.0,65.0,73.0,49.0,62.0,114.0,2023,싱가포르,,
Singapore,IONIQ5 (NE),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,9.0,3.0,2023,싱가포르,,
CKD,PV,총계,3246,3261.0,3706.0,3377.0,4514.0,4581.0,4927.0,4441.0,4053.0,4572.0,4404.0,3461.0,2023,기타,,
CKD,CV,총계,90,86.0,84.0,73.0,70.0,118.0,41.0,51.0,73.0,26.0,60.0,50.0,2023,기타,,
HMI,Xcent (AI3 4DR),내수,5516,5053.0,4883.0,4526.0,4433.0,4299.0,4757.0,4304.0,4462.0,4805.0,4248.0,3852.0,2024,인도,,
HMI,Grand i10 (AI3 5DR),내수,6865,4947.0,5034.0,5117.0,5328.0,4948.0,4922.0,5365.0,5103.0,6235.0,5667.0,4489.0,2024,인도,,
HMI,i20 (BI3 5DR),내수,7083,5131.0,5155.0,5199.0,5169.0,5315.0,4937.0,4913.0,4428.0,5354.0,3925.0,3453.0,2024,인도,,
HMI,Verna (Hci),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,인도,,
HMI,Verna (BN7i),내수,2168,1678.0,1712.0,1571.0,1381.0,1424.0,1420.0,1194.0,1198.0,1272.0,1213.0,872.0,2024,인도,,
HMI,Exter (AI3 SUV),내수,8229,7582.0,8475.0,7756.0,7697.0,6908.0,6037.0,6632.0,6908.0,7127.0,5747.0,5270.0,2024,인도,,
HMI,Venue (QXi),내수,11831,8933.0,9614.0,9120.0,9327.0,9890.0,8840.0,9085.0,10259.0,10901.0,9754.0,10265.0,2024,인도,,
HMI,Creta (SU2i),내수,13212,15276.0,16458.0,15447.0,14662.0,16293.0,17350.0,16762.0,15902.0,17497.0,15452.0,12608.0,2024,인도,,
HMI,Creta (SU2i LWB),내수,1827,1290.0,1420.0,1219.0,944.0,882.0,585.0,1105.0,2712.0,2204.0,2134.0,1342.0,2024,인도,,
HMI,Kona EV (OSi EV),내수,102,86.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,인도,,
HMI,IONIQ5 (NEi),내수,95,66.0,65.0,45.0,42.0,30.0,35.0,40.0,31.0,32.0,22.0,24.0,2024,인도,,
HMI,Tucson (NX4i),내수,183,157.0,110.0,201.0,168.0,114.0,129.0,125.0,98.0,141.0,84.0,33.0,2024,인도,,
