차종,공장명(국가),월,Korea,U.S.A,Canada,Mexico,Europe,Eastern Europe,Latin America,Middle East,Africa,Asia Pacific,India,China,연도
Bus,Korean Plant,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Cee'd,Slovakia Plant,9월,0,0.0,0.0,0.0,8318.0,271.0,1.0,87.0,17.0,9.0,0.0,0.0,2023
Cee'd CUV,Slovakia Plant,9월,0,0.0,0.0,0.0,4482.0,117.0,18.0,0.0,385.0,0.0,0.0,0.0,2023
Sportage,Slovakia Plant,9월,0,0.0,0.0,0.0,16203.0,901.0,469.0,1806.0,759.0,0.0,0.0,0.0,2023
Pride / Rio (SC),Mexico Plant,9월,0,2096.0,492.0,3483.0,0.0,0.0,1250.0,225.0,196.0,12.0,0.0,0.0,2023
K3,Mexico Plant,9월,0,10737.0,1099.0,1109.0,0.0,0.0,194.0,0.0,0.0,10.0,0.0,0.0,2023
Pride / Rio (FB),Russia Plant(incl. CKD Sales),9월,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
K3 (CKD),Russia Plant(incl. CKD Sales),9월,0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Soul (CKD),Russia Plant(incl. CKD Sales),9월,0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Seltos (CKD),Russia Plant(incl. CKD Sales),9월,0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sorento (CKD),Russia Plant(incl. CKD Sales),9월,0,0,0,0,0,0,0,0,0.0,0,0,0,2023
Optima / K5,US Plant,9월,0,6002.0,88.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2023
Sportage,US Plant,9월,0,6869.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2023
Sorento,US Plant,9월,0,5879.0,454.0,153.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2023
Telluride,US Plant,9월,0,9147.0,428.0,0.0,0.0,0.0,7.0,249.0,0.0,1.0,0.0,0.0,2023
Pegas,China Plants,9월,0,0.0,0.0,0.0,0.0,0.0,1573.0,1005.0,142.0,168.0,0.0,122.0,2023
Forte,China Plants,9월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2416.0,2023
K3,China Plants,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,2023
K5 / Optima,China Plants,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,2023
KX1,China Plants,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,634.0,2023
KX3,China Plants,9월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,761.0,2023
Zhipao,China Plants,9월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,756.0,2023
Sportage(KX5),China Plants,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,2023
KX7,China Plants,9월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,2023
Carnival,China Plants,9월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,290.0,2023
Sonet,China Plants,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Seltos,China Plants,9월,0,0.0,0.0,1770.0,0.0,0.0,106.0,59.0,0.0,0.0,0.0,0.0,2023
Sonet,India Plants,9월,0,0.0,0.0,0.0,0.0,0.0,1167.0,1713.0,989.0,143.0,4743.0,0.0,2023
Seltos,India Plants,9월,0,0.0,0.0,299.0,0.0,0.0,785.0,1134.0,467.0,97.0,11184.0,0.0,2023
Carens MPV,India Plants,9월,0,0.0,0.0,0.0,0.0,0.0,439.0,463.0,71.0,91.0,4571.0,0.0,2023
Carnival (CKD),India Plants,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Morning / Picanto,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,69.0,0.0,0.0,2023
Pegas,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,2023
K3,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,152.0,0.0,0.0,2023
K5 / Optima,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2023
"K7, K8 / Cadenza",CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sonet,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,835.0,0.0,0.0,2023
Stonic,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,2023
Seltos,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,678.0,0.0,0.0,2023
Niro,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
EV6,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sportage,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,490.0,0.0,176.0,0.0,174.0,0.0,0.0,2023
Sorento,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,155.0,0.0,0.0,2023
New Carens,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Carens MPV,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,2023
Carnival / Sedona,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0,2023
Bongo / Frontier,CKD (excl. Russia),9월,0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,594.0,0.0,0.0,2023
Bongo,Special Vehicle,9월,0,0.0,0.0,0.0,0.0,180.0,1.0,0.0,0.0,5.0,0.0,0.0,2023
Millitary,Special Vehicle,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Bongo (CKD),Special Vehicle,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Millitary (CKD),Special Vehicle,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Bus (CKD),Special Vehicle,9월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2023
Morning / Picanto,Korean Plant,10월,0,0.0,0.0,0.0,5035.0,355.0,2149.0,269.0,1201.0,897.0,0.0,0.0,2023
Pride / Rio,Korean Plant,10월,0,0.0,0.0,0.0,861.0,4.0,21.0,20.0,608.0,21.0,0.0,0.0,2023
K3,Korean Plant,10월,0,0.0,51.0,38.0,0.0,66.0,11.0,597.0,100.0,388.0,0.0,0.0,2023
K5 / Optima,Korean Plant,10월,0,0.0,0.0,0.0,0.0,539.0,10.0,866.0,20.0,0.0,0.0,0.0,2023
Stinger,Korean Plant,10월,0,49.0,13.0,0.0,26.0,8.0,0.0,13.0,0.0,23.0,0.0,0.0,2023
"K7,8 / Cadenza",Korean Plant,10월,0,0.0,0.0,0.0,0.0,31.0,0.0,119.0,1.0,0.0,0.0,0.0,2023
K9,Korean Plant,10월,0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Stonic,Korean Plant,10월,0,0.0,0.0,0.0,4184.0,1133.0,132.0,126.0,130.0,691.0,0.0,0.0,2023
Seltos,Korean Plant,10월,0,4355.0,1938.0,0.0,0.0,287.0,364.0,85.0,0.0,819.0,0.0,0.0,2023
Soul,Korean Plant,10월,0,4192.0,391.0,204.0,0.0,24.0,172.0,0.0,0.0,1.0,0.0,0.0,2023
Soul EV,Korean Plant,10월,0,0.0,24.0,0.0,106.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,2023
Niro,Korean Plant,10월,0,1622.0,264.0,141.0,2330.0,32.0,128.0,118.0,46.0,377.0,0.0,0.0,2023
Niro EV,Korean Plant,10월,0,786.0,590.0,0.0,3677.0,62.0,7.0,26.0,18.0,127.0,0.0,0.0,2023
Niro Plus,Korean Plant,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,1.0,40.0,0.0,0.0,2023
Niro Plus EV,Korean Plant,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,2023
EV6,Korean Plant,10월,0,1542.0,330.0,0.0,2736.0,10.0,14.0,10.0,27.0,337.0,88.0,6.0,2023
EV9,Korean Plant,10월,0,0.0,0.0,0.0,731.0,0.0,0.0,5.0,1.0,61.0,0.0,0.0,2023
Sportage,Korean Plant,10월,0,4727.0,1993.0,726.0,0.0,1047.0,696.0,0.0,0.0,2082.0,0.0,0.0,2023
Sorento,Korean Plant,10월,0,1501.0,0.0,0.0,1992.0,338.0,170.0,497.0,138.0,769.0,0.0,0.0,2023
Mohave / Borrego,Korean Plant,10월,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Carnival / Sedona,Korean Plant,10월,0,3507.0,311.0,0.0,0,42.0,116.0,241.0,23.0,1302.0,0.0,0.0,2023
Bongo / Frontier,Korean Plant,10월,0,0.0,0.0,0.0,0.0,236.0,971.0,2232.0,167.0,168.0,0.0,0.0,2023
Bus,Korean Plant,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Cee'd,Slovakia Plant,10월,0,0.0,0.0,0.0,7191.0,495.0,4.0,6.0,21.0,1.0,0.0,0.0,2023
Cee'd CUV,Slovakia Plant,10월,0,0.0,0.0,0.0,3515.0,120.0,10.0,0.0,136.0,0.0,0.0,0.0,2023
Sportage,Slovakia Plant,10월,0,0.0,0.0,0.0,13957.0,568.0,441.0,1809.0,913.0,0.0,0.0,0.0,2023
Pride / Rio (SC),Mexico Plant,10월,0,2544.0,163.0,3449.0,0.0,0.0,1031.0,287.0,172.0,0.0,0.0,0.0,2023
K3,Mexico Plant,10월,0,9393.0,1049.0,930.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,2023
Pride / Rio (FB),Russia Plant(incl. CKD Sales),10월,0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
K3 (CKD),Russia Plant(incl. CKD Sales),10월,0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Soul (CKD),Russia Plant(incl. CKD Sales),10월,0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Seltos (CKD),Russia Plant(incl. CKD Sales),10월,0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sorento (CKD),Russia Plant(incl. CKD Sales),10월,0,0,0,0,0,0,0,0,0.0,0,0,0,2023
Optima / K5,US Plant,10월,0,5200.0,51.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2023
Sportage,US Plant,10월,0,6326.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,2023
Sorento,US Plant,10월,0,4887.0,336.0,186.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2023
Telluride,US Plant,10월,0,8533.0,420.0,0.0,0.0,0.0,8.0,183.0,0.0,5.0,0.0,0.0,2023
Pegas,China Plants,10월,0,0.0,0.0,0.0,0.0,0.0,2190.0,3003.0,94.0,173.0,0.0,127.0,2023
Forte,China Plants,10월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2604.0,2023
K3,China Plants,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,2023
K5 / Optima,China Plants,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,2023
KX1,China Plants,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,814.0,2023
KX3,China Plants,10월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,1027.0,2023
Zhipao,China Plants,10월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,615.0,2023
Sportage(KX5),China Plants,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.0,2023
KX7,China Plants,10월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,2023
Carnival,China Plants,10월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,233.0,2023
Sonet,China Plants,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Seltos,China Plants,10월,0,0.0,0.0,1852.0,0.0,0.0,521.0,319.0,0.0,29.0,0.0,0.0,2023
Sonet,India Plants,10월,0,0.0,0.0,0.0,0.0,2.0,1379.0,913.0,525.0,133.0,7086.0,0.0,2023
Seltos,India Plants,10월,0,0.0,0.0,80.0,0.0,0.0,494.0,777.0,340.0,109.0,12238.0,0.0,2023
Carens MPV,India Plants,10월,0,0.0,0.0,0.0,0.0,0.0,327.0,396.0,45.0,58.0,5440.0,0.0,2023
Carnival (CKD),India Plants,10월,0,0,0,0,0,0,0,0,0.0,0,0,0,2023
Morning / Picanto,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,62.0,0.0,0.0,2023
Pegas,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,2023
K3,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,199.0,0.0,0.0,2023
K5 / Optima,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2023
"K7, K8 / Cadenza",CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sonet,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,1064.0,0.0,0.0,2023
Stonic,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,2023
Seltos,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,907.0,0.0,0.0,2023
Niro,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
EV6,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sportage,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,300.0,0.0,140.0,0.0,72.0,0.0,0.0,2023
Sorento,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,86.0,0.0,0.0,2023
New Carens,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Carens MPV,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,2023
Carnival / Sedona,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,0.0,0.0,2023
Bongo / Frontier,CKD (excl. Russia),10월,0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,580.0,0.0,0.0,2023
Bongo,Special Vehicle,10월,0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,13.0,0.0,0.0,2023
Millitary,Special Vehicle,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Bongo (CKD),Special Vehicle,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2023
Millitary (CKD),Special Vehicle,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,2023
Bus (CKD),Special Vehicle,10월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2023
Morning / Picanto,Korean Plant,11월,0,0.0,0.0,0.0,3645.0,238.0,1662.0,663.0,876.0,671.0,0.0,0.0,2023
Pride / Rio,Korean Plant,11월,0,0.0,0.0,0.0,422.0,24.0,9.0,46.0,306.0,21.0,0.0,0.0,2023
K3,Korean Plant,11월,0,0.0,46.0,27.0,0.0,198.0,46.0,786.0,321.0,827.0,0.0,0.0,2023
K5 / Optima,Korean Plant,11월,0,0.0,0.0,0.0,0.0,738.0,28.0,848.0,8.0,12.0,0.0,0.0,2023
Stinger,Korean Plant,11월,0,20.0,4.0,2.0,13.0,7.0,1.0,12.0,0.0,12.0,0.0,0.0,2023
"K7,8 / Cadenza",Korean Plant,11월,0,0.0,0.0,0.0,0.0,50.0,0.0,91.0,0.0,3.0,0.0,0.0,2023
K9,Korean Plant,11월,0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Stonic,Korean Plant,11월,0,0.0,0.0,0.0,4339.0,769.0,237.0,180.0,328.0,692.0,0.0,0.0,2023
Seltos,Korean Plant,11월,0,4214.0,1117.0,0.0,0.0,328.0,365.0,117.0,0.0,1079.0,0.0,0.0,2023
Soul,Korean Plant,11월,0,3601.0,152.0,148.0,0.0,27.0,203.0,0.0,0.0,3.0,0.0,0.0,2023
Soul EV,Korean Plant,11월,0,0.0,9.0,0.0,147.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2023
Niro,Korean Plant,11월,0,1246.0,91.0,117.0,2818.0,6.0,141.0,96.0,58.0,225.0,0.0,0.0,2023
Niro EV,Korean Plant,11월,0,1120.0,470.0,0.0,3532.0,81.0,16.0,35.0,14.0,190.0,0.0,0.0,2023
Niro Plus,Korean Plant,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,1.0,12.0,0.0,0.0,2023
Niro Plus EV,Korean Plant,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2023
EV6,Korean Plant,11월,0,1290.0,215.0,0.0,2383.0,10.0,26.0,13.0,27.0,432.0,50.0,6.0,2023
EV9,Korean Plant,11월,0,5.0,0.0,0.0,1197.0,0.0,5.0,5.0,0.0,112.0,0.0,0.0,2023
Sportage,Korean Plant,11월,0,4386.0,1363.0,662.0,0.0,608.0,576.0,0.0,0.0,1910.0,0.0,0.0,2023
Sorento,Korean Plant,11월,0,1519.0,1.0,0.0,1349.0,347.0,138.0,255.0,116.0,457.0,0.0,0.0,2023
Mohave / Borrego,Korean Plant,11월,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Carnival / Sedona,Korean Plant,11월,0,3404.0,393.0,0.0,0.0,52.0,99.0,202.0,10.0,994.0,0.0,0.0,2023
Bongo / Frontier,Korean Plant,11월,0,0.0,0.0,0.0,0.0,481.0,993.0,1836.0,151.0,353.0,0.0,0.0,2023
Bus,Korean Plant,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Cee'd,Slovakia Plant,11월,0,0.0,0.0,0.0,7574.0,403.0,1.0,0.0,31.0,23.0,0.0,0.0,2023
Cee'd CUV,Slovakia Plant,11월,0,0.0,0.0,0.0,3177.0,188.0,22.0,0.0,128.0,0.0,0.0,0.0,2023
Sportage,Slovakia Plant,11월,0,0.0,0.0,0.0,13249.0,686.0,498.0,2223.0,1007.0,0.0,0.0,0.0,2023
Pride / Rio (SC),Mexico Plant,11월,0,1785.0,378.0,4126.0,0.0,0.0,1136.0,290.0,134.0,12.0,0.0,0.0,2023
K3,Mexico Plant,11월,0,9849.0,720.0,946.0,0.0,0.0,68.0,0.0,0.0,10.0,0.0,0.0,2023
Pride / Rio (FB),Russia Plant(incl. CKD Sales),11월,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
K3 (CKD),Russia Plant(incl. CKD Sales),11월,0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Soul (CKD),Russia Plant(incl. CKD Sales),11월,0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Seltos (CKD),Russia Plant(incl. CKD Sales),11월,0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sorento (CKD),Russia Plant(incl. CKD Sales),11월,0,0,0,0,0,0,0,0,0.0,0,0,0,2023
Optima / K5,US Plant,11월,0,5112.0,51.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2023
Sportage,US Plant,11월,0,6624.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2023
Sorento,US Plant,11월,0,5353.0,425.0,172.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2023
Telluride,US Plant,11월,0,8810.0,388.0,0.0,0.0,0.0,2.0,202.0,0.0,2.0,0.0,0.0,2023
Pegas,China Plants,11월,0,0.0,0.0,0.0,0.0,0.0,2418.0,1615.0,79.0,171.0,0.0,56.0,2023
Forte,China Plants,11월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,2262.0,2023
K3,China Plants,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,2023
K5 / Optima,China Plants,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,2023
KX1,China Plants,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,761.0,2023
KX3,China Plants,11월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,931.0,2023
Zhipao,China Plants,11월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,464.0,2023
Sportage(KX5),China Plants,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,2023
KX7,China Plants,11월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,2023
Carnival,China Plants,11월,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,157.0,2023
Sonet,China Plants,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Seltos,China Plants,11월,0,0.0,0.0,1778.0,0.0,0.0,606.0,509.0,68.0,26.0,0.0,0.0,2023
EV5,China Plants,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,2023
Sonet,India Plants,11월,0,0.0,0.0,0.0,0.0,0.0,1238.0,1537.0,1093.0,98.0,6715.0,0.0,2023
Seltos,India Plants,11월,0,0.0,0.0,42.0,0.0,0.0,336.0,504.0,423.0,98.0,10263.0,0.0,2023
Carens MPV,India Plants,11월,0,0.0,0.0,0.0,0.0,0.0,197.0,387.0,45.0,59.0,4993.0,0.0,2023
Carnival (CKD),India Plants,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,130.0,0.0,0.0,2023
Morning / Picanto,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,130.0,0.0,0.0,2023
Pegas,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,2023
K3,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,275.0,0.0,0.0,2023
K5 / Optima,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2023
"K7, K8 / Cadenza",CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sonet,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,1154.0,0.0,0.0,2023
Stonic,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2023
Seltos,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,0.0,0.0,2023
Niro,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
EV6,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sportage,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,400.0,0.0,143.0,0.0,112.0,0.0,0.0,2023
Sorento,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,106.0,0.0,0.0,2023
New Carens,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Carens MPV,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,2023
Carnival / Sedona,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,0.0,0.0,2023
Bongo / Frontier,CKD (excl. Russia),11월,0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,780.0,0.0,0.0,2023
Bongo,Special Vehicle,11월,0,0.0,0.0,0.0,0.0,80.0,11.0,0.0,2.0,8.0,0.0,0.0,2023
Millitary,Special Vehicle,11월,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,50.0,0.0,0.0,0.0,2023
Bongo (CKD),Special Vehicle,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Millitary (CKD),Special Vehicle,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2023
Bus (CKD),Special Vehicle,11월,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,2023
Morning / Picanto,Korean Plant,12월,0,0.0,0.0,0.0,2566.0,228.0,2092.0,405.0,724.0,587.0,0.0,0.0,2023
Pride / Rio,Korean Plant,12월,0,0.0,0.0,0.0,307.0,4.0,102.0,5.0,163.0,3.0,0.0,0.0,2023
K3,Korean Plant,12월,0,0.0,20.0,34.0,0.0,171.0,14.0,660.0,222.0,682.0,0.0,0.0,2023
K5 / Optima,Korean Plant,12월,0,0.0,0.0,0.0,0.0,445.0,14.0,830.0,11.0,13.0,0.0,0.0,2023
Stinger,Korean Plant,12월,0,11.0,8.0,0.0,24.0,1.0,0.0,15.0,0.0,13.0,0.0,0.0,2023
"K7,8 / Cadenza",Korean Plant,12월,0,0.0,0.0,0.0,0.0,37.0,0.0,81.0,0.0,0.0,0.0,0.0,2023
K9,Korean Plant,12월,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Stonic,Korean Plant,12월,0,0.0,0.0,0.0,4032.0,960.0,194.0,75.0,269.0,465.0,0.0,0.0,2023
Seltos,Korean Plant,12월,0,4425.0,1259.0,0.0,0.0,309.0,243.0,30.0,0.0,677.0,0.0,0.0,2023
Soul,Korean Plant,12월,0,3399.0,142.0,162.0,0.0,27.0,269.0,0.0,0.0,3.0,0.0,0.0,2023
