공장명(국가),차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
인도,Eon,내수,5431,5539,5460,5417,3634,3600,3792,3990,4504,5810,5658,6790,5047,5500,5747,5379,5330,4231,4032,4058,5144,6350,5137,5672,6111,4551,4500,4663,4609,4270,3746,3916,5309,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,Santro (AH2),내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8535,9009,7197,8000,6875,8280,6906,4902,4141,5309,3288,3502,5855,3851,3820,3671,4200,2169,0,157,1513,1351,2395,3034,3463,2822,1960,2211,2128,2165,2683,1122,2039,1949,1731,1798,2877,2141,1298,1252,2393,2494,1793,2608,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,i10,내수,1455,2128,1980,1700,1854,1100,1335,1234,1389,2450,2471,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,i10 (BA 5DR),내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10285,9065,7225,9610,8102,6907,3719,2698,4061,3403,2118,2144,2468,1800,192,0,12,417,506,672,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,i10(BA 4DR),내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121,1924,1792,1463,1694,2172,1430,1316,1164,1388,1612,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,i10(AI3),내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,6705,5297,6470,8068,5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,Aura (AI3 4DR),내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6001,4896,2615,0,349,1016,1839,3117,3682,5540,2990,3065,4140,4159,3915,3288,1627,3088,3984,2950,2654,2355,2175,1685,3017,3406,3417,3803,3146,4099,4018,4378,4239,4248,3813,4156,4634,5524,3774,5085,4707,4907,4514,4892,3900,4096,3850,3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,NIOS (AI3 5DR),내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306,8607,4101,0,706,3176,7862,9518,10373,14000,10936,10263,10865,10270,11020,11540,3804,8787,9379,8023,4168,6042,5466,6151,6841,8552,9687,9123,9138,8992,10000,9274,9459,8855,7961,8340,8760,9635,9304,6839,6385,6321,5337,7306,5223,6552,4708,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인도,Xcent (AI3 4DR),내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,72,0,0,0,0,0,111,200,37,73,48,43,141,108,59,10,38,50,144,208,346,387,30,316,262,358,232,165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5516,5053,4883,4526,4433,4299,4757,4304,4462,4805,4248,3852,5388,4797
인도,Grand i10(BA),내수,9934,8898,9544,9840,12055,12678,11961,12957,12212,14530,11059,10519,13010,12862,12545,12001,12984,12317,12002,12306,14099,14417,13249,0,12109,10198,12476,12174,10939,10343,10775,11489,11224,11820,9252,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
