공장명(국가),공장코드,차종,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
중국,DYK,Sportage (KM),1434.0,1514.0,1401.0,942.0,1727.0,953.0,1177.0,34.0,116.0,0.0,2.0,2.0,0.0,0.0,0.0,0 ,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,DYK,Sportage (SL),10127.0,5100.0,6225.0,6910.0,6287.0,5089.0,5431.0,5045.0,5761.0,7766.0,7729.0,5184.0,2825.0,3006.0,1722.0,1425 ,1521.0,1769.0,1835.0,2001.0,3840.0,3781.0,3628.0,4273.0,2241.0,1056.0,1677.0,1440.0,785.0,8.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,DYK,Sportage (QL),53.0,1469.0,6001.0,7813.0,6959.0,8493.0,6861.0,5537.0,3872.0,5894.0,6762.0,4062.0,1688.0,1325.0,925.0,749 ,708.0,847.0,1739.0,1189.0,3066.0,2067.0,2312.0,2693.0,1324.0,731.0,873.0,526.0,378.0,211.0,87.0,137.0,397.0,285.0,556.0,446.0,251.0,2220.0,1353.0,297.0,201.0,531.0,201.0,456.0,323.0,250.0,393.0,(285),466.0,9.0,514.0,2444.0,538.0,878.0,980.0,989.0,1178.0,1007.0,927.0,1244.0,467.0,296.0,49.0,259.0,352.0,281.0,324.0,209.0,106.0,192.0,71.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중국,DYK,Sonet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.0,3212.0,4372.0,4546.0,4230.0,3235.0,4253.0,4359.0,3910.0,4164.0,3378.0,4480.0,2397.0,4589.0
중국,DYK,KX7,,,,,,,,,,,,,298.0,913.0,813.0,609 ,612.0,375.0,373.0,380.0,388.0,353.0,375.0,462.0,354.0,125.0,390.0,204.0,195.0,80.0,85.0,184.0,33.0,195.0,122.0,60.0,13.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1 ,2.0,0.0,0.0,177.0,49.0,10.0,12.0,15.0,25.0,95.0,84.0,378.0,107.0,70.0,21.0,4.0,116.0,94.0,96.0,143.0,313.0,109.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
중국,DYK,KX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,78.0,80.0,16.0,17.0,54.0,16.0,19.0,215.0,818.0,654.0,651.0,312.0,351.0,869.0,960.0,918.0,959.0,1353.0,1131.0,1774.0,1392.0,1544.0,1187.0,1446.0,938.0,927.0,992.0,1001.0,2672.0,3295.0,2951.0,3559.0,2850.0,2792.0,3722.0,1875.0,1021.0
중국,DYK,Zhipao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.0,2086.0,1959.0,370.0,625.0,1351.0,1893.0,1661.0,1651.0,1377.0,830.0,1837.0,1879.0,1366.0,783.0,539.0,728.0,724.0,454.0,550.0,612.0,544.0,339.0,407.0,490.0,298.0,230.0,66.0,32.0,117.0,112.0,157.0,145.0,442.0,477.0,234.0,139.0,110.0
중국,DYK,EV5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,352.0,1096.0,763.0,165.0,323.0,1182.0,1732.0,881.0,948.0,1385.0,1199.0,1259.0,821.0,738.0,699.0,574.0
중국,DYK,Carnival,,,,,,,,,,,,,,,,,,,,289.0,703.0,618.0,608.0,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,200.0,249.0,104.0,107.0,225.0,242.0,216.0,219.0,171.0,192.0,112.0,38.0,56.0,97.0,142.0,140.0,175.0,320.0,221.0,291.0,235.0,141.0,123.0,144.0,62.0,139.0,142.0,156.0,187.0,181.0,186.0,132.0,134.0,179.0,165.0,99.0,105.0
중국,DYK,Pegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801.0,1723.0,1941.0,1339.0,2977.0,4921.0,4946.0,3823.0,3200.0,3082.0,3488.0,2514.0,3320.0,3436.0,3504.0,3465.0,3710.0,3548.0,3572.0,5866.0,7042.0,4121.0,5645.0,4495.0,5120.0,3607.0,3340.0,3946.0,3812.0,5280.0,4699.0,5902.0,6111.0,6303.0,6455.0,5934.0,3638.0,4422.0
