지역명,차량 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Latin America,KD,,120.0,,660.0,40.0,240.0,,380.0,240.0,300.0,120.0,720.0,480.0,320.0,360.0,720.0,600.0,880.0,720.0,920.0,600.0,960.0,240.0,560.0,1120.0,1040.0,720.0,600.0,600.0,840.0,720.0,560.0,600.0,320.0,240.0,560.0,400.0,360.0,360.0,840.0,560.0,680.0,400.0,1040.0,800.0,520.0,320.0,280.0,320.0,120.0,440.0,160.0,,120.0,,80.0,40.0,360.0,200.0,400.0,740.0,240.0,800.0,680.0,800.0,680.0,420.0,660.0,280.0,420.0,600.0,600.0,60.0,360.0,900.0,600.0,540.0,420.0,360.0,900.0,360.0,240.0,240.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America,Passenger Car,5899.0,7704.0,10901.0,9406.0,6148.0,10150.0,9297.0,6748.0,6364.0,7487.0,8913.0,12361.0,4581.0,6161.0,6409.0,4001.0,3797.0,4156.0,3659.0,4246.0,4468.0,3740.0,4251.0,4149.0,3531.0,2432.0,3116.0,2842.0,3419.0,3289.0,4041.0,3901.0,3991.0,3719.0,3973.0,2954.0,2555.0,2425.0,3333.0,2896.0,4243.0,3102.0,3282.0,2613.0,2860.0,3536.0,2768.0,1547.0,2280.0,552.0,3790.0,819.0,620.0,876.0,407.0,794.0,1907.0,1845.0,1934.0,1633.0,1151.0,1221.0,2253.0,2082.0,1506.0,2056.0,2969.0,2847.0,2551.0,5241.0,1818.0,2055.0,3377.0,2235.0,3276.0,2952.0,2684.0,2693.0,2388.0,2275.0,2506.0,1995.0,1697.0,2622.0,1688.0,1859.0,2189.0,2016.0,2381.0,2272.0,2142.0,1898.0,2184.0,1688.0,1602.0,1539.0,574.0,753.0,1135.0,1717.0,1304.0,1285.0,1590.0,1518.0,1111.0,1925.0,2058.0,2943.0,1389.0,874.0
Latin America,Recreational Vehicle,2807.0,6184.0,6591.0,6927.0,4378.0,5738.0,4162.0,3511.0,4309.0,6594.0,5394.0,6988.0,5617.0,6582.0,7335.0,6969.0,6311.0,6465.0,5566.0,5450.0,5669.0,5178.0,5308.0,5505.0,3635.0,4391.0,5909.0,5518.0,5175.0,3954.0,5387.0,3167.0,4265.0,5401.0,7390.0,2105.0,4602.0,3348.0,4575.0,5253.0,3847.0,4586.0,2985.0,2992.0,4160.0,4460.0,5587.0,844.0,1056.0,1098.0,2052.0,159.0,211.0,810.0,854.0,1468.0,2431.0,3270.0,4279.0,1022.0,1595.0,1426.0,1836.0,2744.0,2620.0,3559.0,1882.0,2470.0,1917.0,1833.0,2681.0,2035.0,1296.0,1759.0,1937.0,3175.0,3030.0,2440.0,3709.0,2831.0,2636.0,3222.0,2945.0,2268.0,1248.0,1298.0,2120.0,1859.0,1960.0,2156.0,2236.0,1660.0,1943.0,2162.0,3429.0,2743.0,2385.0,1665.0,1950.0,2274.0,2391.0,2560.0,2222.0,2495.0,1532.0,1952.0,2876.0,5013.0,1316.0,1916.0
Latin America,Special Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,21.0,,,1.0,,,,,13.0,2.0,1.0,1.0,,,,,2.0,4.0,,,,,14.0,
Mexico,Passenger Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,139.0,66.0,139.0,81.0,67.0,81.0,39.0,14.0,15.0,59.0,54.0,1.0,,,,,,,,,,,,,
Mexico,Recreational Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.0,2352.0,2054.0,1903.0,1784.0,1552.0,1168.0,550.0,653.0,652.0,135.0,641.0,969.0,647.0,812.0,637.0,806.0,211.0,620.0,389.0,505.0,490.0,501.0,1016.0,502.0,863.0
Middle East/Africa,"CKD(Inc, Special Vehicle)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,120.0,80.0,200.0,440.0,930.0,1040.0,1120.0,971.0,441.0,920.0,760.0,680.0,1720.0,120.0,80.0,40.0,160.0,80.0,400.0,120.0,120.0,360.0,680.0,880.0
Middle East/Africa,CKD(Special Vehicle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,105.0,75.0,55.0,132.0,,132.0,72.0,133.0,84.0,,74.0,101.0,134.0
Middle East/Africa,Commercial Vehicle,1219.0,788.0,1755.0,964.0,781.0,718.0,1011.0,649.0,899.0,1005.0,2807.0,4121.0,982.0,2220.0,2324.0,1067.0,1110.0,1640.0,1674.0,1356.0,1562.0,894.0,1866.0,1848.0,1813.0,684.0,1886.0,2042.0,1783.0,1611.0,1420.0,1325.0,921.0,1140.0,2593.0,1836.0,2166.0,617.0,1465.0,1928.0,1397.0,629.0,1523.0,1257.0,1087.0,398.0,2111.0,1261.0,3114.0,1356.0,1304.0,1449.0,1003.0,826.0,612.0,1416.0,2659.0,1633.0,1690.0,1036.0,1648.0,1990.0,1434.0,2229.0,1941.0,1951.0,2778.0,1981.0,1327.0,1642.0,2057.0,2747.0,1848.0,1541.0,1355.0,1710.0,2130.0,1837.0,1970.0,1084.0,1253.0,1370.0,1788.0,2690.0,1733.0,1521.0,1553.0,1458.0,1137.0,940.0,2071.0,1327.0,1589.0,1342.0,1674.0,1884.0,1790.0,1285.0,1531.0,1342.0,1382.0,1726.0,1669.0,1440.0,1496.0,2023.0,1836.0,1577.0,1809.0,1243.0
Middle East/Africa,KD,,600.0,600.0,720.0,1440.0,1440.0,1440.0,1440.0,720.0,960.0,480.0,1680.0,2160.0,1800.0,1920.0,1920.0,2400.0,2160.0,2760.0,2640.0,3840.0,1440.0,1920.0,1440.0,2880.0,2400.0,2400.0,2400.0,4320.0,3840.0,1920.0,120.0,,160.0,160.0,,200.0,,200.0,80.0,560.0,680.0,320.0,520.0,520.0,600.0,960.0,680.0,1000.0,1120.0,1320.0,480.0,840.0,1520.0,1720.0,1360.0,1920.0,1320.0,1400.0,3600.0,2160.0,2600.0,2560.0,2520.0,2000.0,1600.0,3640.0,2280.0,1680.0,600.0,1200.0,1920.0,1440.0,1840.0,2280.0,2320.0,1680.0,480.0,360.0,840.0,840.0,720.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
