공장명(국가),차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12, 2025-01 , 2025-02 
인도,Grand i10(4DR),내수," 3,708 "," 4,193 "," 3,761 "," 4,200 "," 4,701 "," 3,800 "," 4,585 ","4,316 ","3,896 ","5,015 ","3,623 ","3,993 "," 3,351 "," 3,348 "," 2,786 "," 4,446 "," 3,804 "," 3,425 "," 4,219 ","3,467 ","3,609 ","3,491 ","2,841 ","12,955 "," 3,363 "," 2,768 "," 3,200 "," 3,712 "," 3,673 "," 4,199 "," 4,114 ","4,981 ","4,105 ","3,143 ","2,495 ","1,723 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도, Grand i10 (AI3 5DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 6,865 "," 4,947 "," 5,034 "," 5,117 "," 5,328 "," 4,948 "," 4,922 "," 5,365 "," 5,103 "," 6,235 "," 5,667 "," 4,489 "," 5,311 "," 4,940 "
인도,i20(IB),내수," 8,250 "," 8,419 "," 8,713 "," 9,400 "," 8,600 "," 7,250 "," 8,205 ","9,146 ","8,460 ","9,600 ","7,601 ","8,450 "," 10,010 "," 8,814 "," 10,644 "," 10,865 "," 9,257 "," 9,008 "," 10,017 ","10,286 ","10,105 ","9,484 ","9,000 ","2,706 "," 8,522 "," 12,140 "," 12,199 "," 11,266 "," 9,595 "," 10,265 "," 9,852 ","10,492 ","11,244 ","11,607 ","9,615 ","11,100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도, i20 (IB 5DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 10,797 "," 10,752 "," 11,552 "," 10,016 "," 8,711 "," 9,000 "," 8,563 ","6,740 ","9,679 ","13,915 ","10,279 ","7,720 "," 8,137 "," 8,766 "," 3,455 ", - , 878 ," 2,718 "," 6,344 ","7,765 ","9,852 ",194 ,- ,4 , - , - , - , - , - , - , - ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도, i20 (BI3 5DR),내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,205 ","9,096 ","8,000 "," 8,505 "," 9,001 "," 9,045 "," 5,002 "," 3,440 "," 6,333 "," 6,518 ","7,340 ","5,153 ","4,414 ","4,391 ","3,150 "," 6,505 "," 5,830 "," 4,693 "," 4,707 "," 4,463 "," 7,921 "," 6,873 "," 7,558 "," 7,275 "," 7,814 "," 7,236 "," 4,697 "," 8,185 "," 9,287 "," 6,596 "," 6,472 "," 6,094 "," 6,162 "," 5,001 "," 4,896 "," 6,481 "," 7,212 "," 5,727 "," 4,574 "," 7,083 "," 5,131 "," 5,155 "," 5,199 "," 5,169 "," 5,315 "," 4,937 "," 4,913 "," 4,428 "," 5,354 "," 3,925 "," 3,453 "," 4,741 "," 3,627 "
인도,i20(IB Cross),내수," 1,354 "," 1,783 "," 1,934 "," 1,747 "," 1,872 "," 1,740 "," 1,705 ","1,865 ","1,794 ","1,932 ","1,316 ","1,353 "," 1,450 "," 1,600 "," 1,750 "," 1,803 "," 1,410 "," 1,601 "," 1,373 ","1,546 ","1,469 ","1,528 ","1,236 ","8,770 "," 1,128 "," 1,238 "," 1,120 "," 1,103 "," 1,069 ", 997 , 970 ,983 ,"1,136 ","1,683 ",940 ,840 , 952 , 795 , 620 , 395 , 247 , 271 , 449 ,331 ,462 ,768 ,167 ,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,Accent(RB),내수," 1,224 "," 1,368 "," 1,520 "," 2,050 "," 1,502 "," 1,800 "," 1,614 ",948 ,"1,185 ","1,455 ",931 ,864 , 897 , 808 , 870 , 682 , 563 , 326 , 520 ,14 ,1 ,,,"1,077 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,Accent(HCi),내수,,,,,,,,,,,,,,,,,,,,"4,765 ","6,053 ","4,665 ","3,787 ",," 4,601 "," 4,001 "," 4,151 "," 4,077 "," 3,801 "," 3,901 "," 3,351 ","3,361 ","3,501 ","3,301 ","2,558 ","2,001 "," 3,216 "," 3,299 "," 3,201 "," 2,932 "," 2,567 "," 2,271 "," 1,890 ","1,597 ","1,738 ","2,174 ","2,010 ","1,295 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,Elantra(MD),내수, 42 , 114 , 74 , 71 , 44 , 112 ,,,,,,,,,,,,,,,,,,"1,953 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인도,Elantra(AD),내수,,,,,,,,272 ,302 ,334 ,264 ,212 , 184 , 217 , 247 , 227 , 189 , 159 , 158 ,251 ,170 ,184 ,144 ,, 175 , 151 , 151 , 150 , 149 , 137 , 100 ,68 ,91 ,115 ,78 ,50 , 68 , 82 , 86 , 85 , 105 , 60 , 54 ,41 ,94 ,59 ,34 ,23 , 63 , 46 , 28 , - , 6 , 15 , 20 ,26 ,24 ,46 ,38 ,15 , 32 , 40 , 53 , 53 , 9 , 29 , 15 ,20 ,41 ,11 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
