지역명,공장명(국가),차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
아프리카,중국,EV5,5.0,,,,,,,,,,,,2025
아프리카,싱가포르 글로벌 혁신센터,EV5,0,,,,,,,,,,,,2025
아프리카,한국,EV5,0.0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),EV6,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),EV6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,한국,EV6,13.0,17.0,32.0,12.0,21.0,19.0,14.0,25.0,14.0,22.0,22.0,10.0,2024
아프리카,한국,EV6,2.0,,,,,,,,,,,,2025
아프리카,한국,EV6,17.0,16.0,17.0,22.0,20.0,30.0,21.0,16.0,27.0,27.0,27.0,19.0,2023
아프리카,미국,EV6,0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),EV9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),EV9,0,,,,,,,,,,,,2025
아프리카,한국,EV9,1.0,1.0,3.0,1.0,3.0,10.0,6.0,1.0,5.0,5.0,4.0,5.0,2024
아프리카,한국,EV9,4.0,,,,,,,,,,,,2025
아프리카,한국,EV9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2023
아프리카,미국,EV9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,미국,EV9,0.0,,,,,,,,,,,,2025
아프리카,중국,Forte,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2023
아프리카,중국,Forte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,중국,Forte,0,,,,,,,,,,,,2025
아프리카,CKD(모듈형 조립 방식),K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,CKD(모듈형 조립 방식),K3,0,,,,,,,,,,,,2025
아프리카,CKD(러시아 제외),K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,중국,K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,중국,K3,0.0,,,,,,,,,,,,2025
아프리카,한국,K3,104.0,189.0,136.0,4.0,6.0,238.0,36.0,217.0,29.0,323.0,31.0,115.0,2024
아프리카,한국,K3,70.0,,,,,,,,,,,,2025
아프리카,한국,K3,5.0,5.0,17.0,1.0,7.0,63.0,319.0,15.0,68.0,100.0,321.0,222.0,2023
아프리카,멕시코,K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
아프리카,멕시코,K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
아프리카,멕시코,K3,0,,,,,,,,,,,,2025
