지역명,대륙,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
미국,북미,25137,25043,33449,31844,29978,31718,26435,13014,16865,23793,36028,42458,23030,24708,35381,32842,32920,38400,32062,15220,18038,16473,23681,14263,22743,20041,25903,24159,21547,21896,20985,25149,26588,36188,34610,32678,28184,20758,32594,32716,35492,41291,31020,28846,24952,45019,40067,38913,25983,21373,33990,17480,12928,34447,40847,25683,37560,39054,39413,33875,33889,23117,35001,37500,25180,29863,29403,24757,26230,33042,34150,33948,30094,30072,36663,38730,39607,33930,50201,36086,48243,44667,52477,49566,33157,44040,44161,43894,51132,47682,46768,46840,49241,57589,58435,58183,55421,43704,57669,63939,62068,55809,44859,52389,45941,52255,45782,57802,41454,48996
캐나다,북미,8833,8909,10800,10290,7291,8528,6957,4530,2887,5398,8475,8151,7082,7153,9266,10747,10063,11574,10057,5027,7336,5949,5920,3437,5422,6527,9638,9075,11907,9845,7219,7871,5712,9004,6743,9785,9411,6852,7898,11800,11650,13609,11459,8861,5958,8808,7377,6610,10216,5478,8361,1783,4827,8086,11445,6588,8140,15012,8964,10236,10943,7551,12820,10299,6771,6254,8516,5329,6444,6737,9321,9096,8555,7274,8626,10174,8580,7663,7054,7816,7762,8790,6792,9368,9824,11958,11464,10792,10478,11495,8383,6155,6143,9776,10729,11805,11189,9437,11914,10738,10512,12175,10867,8529,10163,12632,9098,10807,10472,10762
멕시코,북미,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,24,7,180,45,31,30,20,59,0,0,2,2,1,0,32,30,0,0,0,0,0,0,0,0,11,91,0,20,0,0,50,49,51,0,139,8,82,57,45,69,31,202,216,75,130,200,112,60,51,287,373,194,150,143,146,189,153,121,72,29,83
서유럽,유럽,4034,3027,3482,3279,3417,3537,4212,3571,3741,5541,6837,5035,5238,5986,5668,5491,5169,5638,3791,3218,10608,9431,13232,7229,8012,7263,10622,12986,8543,12346,8017,11275,13536,13874,16092,12737,12479,7893,15735,12946,11817,11049,18074,11868,12039,18170,14267,19064,14603,8157,16357,11389,10008,11922,12482,5489,7799,11909,11004,8782,11099,10883,12861,12232,8832,11368,11456,9241,9979,12026,9354,11251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동유럽,유럽,1229,2148,4877,466,1397,2343,1742,2363,2287,3911,3085,4480,2140,2120,2684,2491,2190,2454,2383,1762,2024,2560,3172,1967,2365,2698,2186,2102,2629,2856,3016,3524,3014,2507,3526,2446,3995,3311,4119,3544,3402,3719,2819,2732,2499,2202,2632,2566,3375,1810,3090,2155,1360,1240,1698,1181,1944,2636,3455,3253,3899,4925,4581,6067,6080,6337,5491,4857,4673,4756,5846,9219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽 (자회사),유럽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7613,9077,9467,10153,10657,6984,9869,8955,8447,9301,7916,14195,8949,14775,12550,11058,12274,13248,8080,5970,6476,6753,7476,6762,7172,8467,8538,10326,7889,7881,6881,6457,6214,7967,8753,10033,8298,8975
유럽 (유통업체),유럽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969,2196,892,1283,1575,1262,1495,1728,3405,2826,2400,2825,2127,1526,2525,3539,2940,2913,3767,3675,3059,3625,2046,2875,2525,1510,1898,2529,2009,1887,1733,1466,1567,2576,3002,2809,4017,2912
튀르키예,유럽,1348,1034,2090,1920,1429,1754,1871,1170,1201,2606,2344,1385,536,606,569,646,2821,2759,1802,2095,2595,1812,2472,290,955,936,1482,1903,2428,2245,1497,1277,0,0,490,0,5,169,296,1045,617,94,562,352,301,700,659,40,290,420,874,0,150,512,959,417,1606,430,636,964,241,173,1336,711,407,850,325,301,793,951,485,734,77,583,599,677,411,699,206,626,332,899,263,718,389,854,653,913,1096,1096,1421,870,870,1110,1102,805,441,1697,1667,1759,751,383,204,53,140,350,259,734,197,1343
유럽 기타,유럽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,19
중남미,기타,5171,4586,7287,6233,6103,6074,6794,4349,4932,8599,9820,11119,3889,4747,8200,8554,8185,7711,7143,4603,7333,7207,7073,4746,6410,5968,5684,7112,7791,5293,7260,7908,6911,8937,8558,5334,3403,2366,3604,6166,5692,5297,5972,5494,5279,6331,4323,5284,2526,1220,2025,863,611,768,1032,1834,2388,4781,4044,5129,2925,1538,4201,4264,4142,4857,4451,3423,3821,5284,4180,4385,4224,4021,3300,5151,4856,5064,4168,3502,4006,4549,4988,5012,3896,5092,4954,5758,4294,5538,4700,4796,4068,5022,3691,4547,4772,4206,4805,4592,3392,4433,3766,3946,5439,4341,3448,5599,4157,3804
