거래 구분,차종 구분,2016년01,2016년02,2016년03,2016년04,2016년05,2016년06,2016년07,2016년08,2016년09,2016년10,2016년11,2016년12,2017년01,2017년02,2017년03,2017년04,2017년05,2017년06,2017년07,2017년08,2017년09,2017년10,2017년11,2017년12,2018년01,2018년02,2018년03,2018년04,2018년05,2018년06,2018년07,2018년08,2018년09,2018년10,2018년11,2018년12,2019년01,2019년02,2019년03,2019년04,2019년05,2019년06,2019년07,2019년08,2019년09,2019년10,2019년11,2019년12,2020년01,2020년02,2020년03,2020년04,2020년05,2020년06,2020년07,2020년08,2020년09,2020년10,2020년11,2020년12,2021년01,2021년02,2021년03,2021년04,2021년05,2021년06,2021년07,2021년08,2021년09,2021년10,2021년11,2021년12,2022년01,2022년02,2022년03,2022년04,2022년05,2022년06,2022년07,2022년08,2022년09,2022년10,2022년11,2022년12,2023년01,2023년02,2023년03,2023년04,2023년05,2023년06,2023년07,2023년08,2023년09,2023년10,2023년11,2023년12,2024년01,2024년02,2024년03,2024년04,2024년05,2024년06,2024년07,2024년08,2024년09,2024년10,2024년11,2024년12,2025년01,2025년02,,,,,,,,,,,,,,,,,
내수,Niro,,,,,,,,,,,,, 973 ," 1,326 "," 2,183 "," 1,896 "," 1,922 "," 1,833 "," 2,228 "," 1,420 "," 2,418 "," 1,460 "," 3,062 "," 2,926 "," 1,516 "," 1,658 "," 1,982 "," 1,403 "," 1,687 "," 1,536 "," 1,908 "," 2,723 "," 1,999 "," 2,099 "," 2,280 "," 2,020 "," 1,209 "," 1,774 "," 2,771 "," 2,953 "," 3,080 "," 3,130 "," 2,620 "," 1,721 "," 1,414 "," 1,610 "," 1,741 "," 2,223 "," 1,141 "," 1,935 "," 2,279 "," 2,300 "," 2,227 "," 2,272 "," 1,418 "," 1,498 "," 1,661 "," 1,334 "," 1,888 "," 1,286 ", 764 ," 1,070 "," 1,483 "," 1,318 "," 1,741 "," 2,312 "," 1,502 "," 1,900 "," 1,765 "," 1,896 "," 1,438 "," 1,315 "," 1,224 "," 2,569 "," 2,413 "," 3,613 "," 2,687 "," 2,882 "," 1,955 "," 1,489 "," 1,426 "," 1,098 "," 1,738 "," 1,684 "," 1,269 "," 1,588 "," 2,219 "," 2,120 "," 1,990 "," 1,992 "," 1,614 "," 1,694 "," 1,681 "," 1,595 "," 1,541 "," 1,256 "," 1,239 ", 940 ," 1,051 "," 1,815 "," 1,709 "," 1,333 "," 1,199 "," 1,109 ", 870 , 958 ," 1,162 "," 1,185 ", 571 , 853 ," 173,778 ",,,,,,,,,,,,,,,,
내수,Niro Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, - , - , - , - , 203 , 939 , 923 , 832 , 935 , 544 , 260 , 77 , - , 292 , 460 , 475 , 462 , 298 , 303 , 115 , 103 , 218 , 120 , 70 , 2 , - , 86 , 123 , 67 , 65 , 14 , 43 , 3 , 3 , 1 , 1 ,, 1 ," 8,038 ",,,,,,,,,,,,,,,,
내수,EV6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1,910 "," 2,654 "," 2,762 "," 2,202 "," 1,495 ", 115 ," 1,706 "," 2,689 "," 2,976 "," 2,864 "," 1,808 "," 3,049 "," 1,672 "," 2,281 "," 2,175 "," 2,280 "," 1,237 ", - ," 1,951 "," 3,009 "," 2,694 "," 1,894 "," 1,379 "," 1,398 ", 948 , 601 ," 1,564 "," 1,096 ", 693 , 29 , 155 ," 1,275 "," 1,036 "," 1,380 "," 1,430 "," 1,344 ", 599 , 324 , 557 , 770 , 155 , 72 ," 1,100 "," 63,328 ",,,,,,,,,,,,,,,,
내수,Sportage," 4,754 "," 3,750 "," 4,924 "," 4,548 "," 4,791 "," 4,977 "," 3,007 "," 3,632 "," 3,658 "," 4,064 "," 3,968 "," 3,804 "," 2,457 "," 2,923 "," 4,452 "," 3,940 "," 3,634 "," 3,517 "," 3,446 "," 2,835 "," 3,337 "," 3,200 "," 4,011 "," 4,480 "," 3,353 "," 2,699 "," 3,147 "," 2,726 "," 2,856 "," 2,943 "," 3,245 "," 3,786 "," 3,047 "," 3,248 "," 3,388 "," 2,935 "," 2,755 "," 2,214 "," 2,673 "," 2,628 "," 3,320 "," 2,579 "," 1,860 "," 1,485 "," 1,745 "," 2,260 "," 2,564 "," 2,188 "," 1,175 "," 1,165 "," 1,615 "," 1,749 "," 1,509 "," 2,455 "," 1,272 "," 1,472 "," 1,263 "," 1,425 "," 1,658 "," 1,667 "," 1,143 "," 1,366 ", 787 ," 1,167 ", 836 ," 1,187 "," 3,079 "," 6,571 "," 4,386 "," 4,258 "," 7,540 "," 7,442 "," 4,455 "," 3,781 "," 4,919 "," 4,556 "," 4,542 "," 4,513 "," 3,406 "," 3,873 "," 4,441 "," 4,950 "," 5,762 "," 6,196 "," 5,492 "," 5,689 "," 6,018 "," 6,282 "," 6,185 "," 6,418 "," 6,625 "," 5,210 "," 5,402 "," 4,707 "," 5,982 "," 5,739 "," 5,934 "," 6,991 "," 6,736 "," 7,179 "," 6,644 "," 5,815 "," 6,235 "," 5,988 "," 4,541 "," 5,531 "," 4,233 "," 8,428 "," 6,547 "," 6,568 "," 428,453 ",,,,,,,,,,,,,,,,
내수,Sorento," 7,567 "," 5,140 "," 7,611 "," 8,256 "," 7,988 "," 7,350 "," 5,483 "," 4,704 "," 6,436 "," 6,525 "," 6,363 "," 7,292 "," 5,191 "," 5,055 "," 6,328 "," 5,343 "," 5,507 "," 6,176 "," 6,017 "," 7,768 "," 10,016 "," 6,200 "," 8,107 "," 6,750 "," 5,906 "," 5,853 "," 6,965 "," 5,237 "," 5,559 "," 6,318 "," 6,056 "," 4,759 "," 3,943 "," 5,346 "," 6,113 "," 5,145 "," 3,617 "," 4,157 "," 5,626 "," 4,452 "," 4,548 "," 4,281 "," 3,166 "," 3,476 "," 3,743 "," 4,581 "," 5,600 "," 5,078 "," 1,830 "," 1,998 "," 3,875 "," 9,270 "," 9,298 "," 11,596 "," 9,488 "," 6,116 "," 9,151 "," 7,261 "," 7,009 "," 5,383 "," 7,480 "," 4,945 "," 8,357 "," 6,228 "," 6,883 "," 6,081 "," 6,339 "," 3,974 "," 3,820 "," 5,363 "," 4,903 "," 5,561 "," 5,066 "," 4,776 "," 5,435 "," 5,551 "," 5,356 "," 5,593 "," 6,940 "," 5,674 "," 5,335 "," 5,127 "," 6,656 "," 7,393 "," 4,611 "," 4,745 "," 6,890 "," 6,835 "," 6,499 "," 6,978 "," 5,678 "," 7,176 "," 10,190 "," 8,777 "," 9,364 "," 8,068 "," 9,284 "," 8,671 "," 8,974 "," 7,865 "," 7,487 "," 7,307 "," 7,596 "," 3,502 "," 6,628 "," 7,962 "," 10,434 "," 8,828 "," 7,454 "," 9,067 "," 696,679 ",,,,,,,,,,,,,,,,
내수,Mohave, - ," 1,054 "," 1,929 "," 1,664 "," 1,382 "," 1,662 "," 1,220 ", 641 , 890 , 748 ," 2,066 "," 1,803 "," 1,425 "," 1,340 "," 1,096 "," 1,591 "," 1,783 "," 1,494 "," 1,217 "," 1,014 "," 1,205 ", 937 ," 1,118 ", 985 , 883 ," 1,035 ", 957 , 739 , 637 , 673 , 544 , 414 , 154 , 467 , 717 , 617 , 391 , 180 , 240 , 159 , 129 , 131 , 322 , 434 ," 1,754 "," 2,283 "," 1,468 "," 1,747 "," 1,428 ", 621 ," 2,549 "," 2,143 "," 1,719 "," 2,548 "," 1,632 "," 1,361 "," 1,288 "," 1,370 "," 1,671 "," 1,268 ", 896 , 975 ," 1,189 "," 1,333 "," 1,243 ", 932 , 971 , 665 , 528 , 588 , 529 ," 1,020 ", 406 , 950 , 852 ," 1,497 "," 1,208 "," 1,095 "," 1,125 "," 1,114 "," 1,166 ", 980 , 698 , 542 , 482 , 504 , 710 , 483 , 318 , 510 , 459 , 379 , 317 , 293 , 313 , 252 , 291 , 241 , 298 , 257 , 224 , 288 , 197 , 204 , 118 , 98 , 78 ,,,," 96,753 ",,,,,,,,,,,,,,,,
내수,New Soul, 109 , 126 , 217 , 242 , 169 , 256 , 174 , 148 , 245 , 293 , 230 , 150 , 109 , 213 , 217 , 164 , 241 , 292 , 199 , 156 , 333 , 213 , 746 , 126 , 96 , 134 , 297 , 305 , 236 , 445 , 357 , 328 , 117 , 38 , 29 , 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 7,774 ",,,,,,,,,,,,,,,,
내수,New Carens, 191 , 218 , 270 , 186 , 207 , 314 , 220 , 340 , 266 , 366 , 307 , 360 , 159 , 206 , 230 , 279 , 321 , 250 , 220 , 212 , 240 , 194 , 236 , 258 , 185 , 143 , 187 , 211 , 199 , 230 , 228 , 193 , 135 , 1 ,,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 7,762 ",,,,,,,,,,,,,,,,
내수,Carnival," 5,820 "," 3,640 "," 6,075 "," 5,490 "," 5,065 "," 5,948 "," 6,773 "," 4,886 "," 3,927 "," 5,344 "," 7,178 "," 5,781 "," 5,166 "," 5,237 "," 6,514 "," 6,302 "," 6,160 "," 6,573 "," 6,261 "," 5,247 "," 6,011 "," 4,221 "," 5,655 "," 5,039 "," 4,669 "," 3,096 "," 5,708 "," 8,828 "," 8,002 "," 7,059 "," 7,474 "," 6,918 "," 5,760 "," 6,829 "," 6,571 "," 5,448 "," 5,678 "," 4,312 "," 5,718 "," 6,110 "," 6,109 "," 5,909 "," 5,518 "," 4,780 "," 3,854 "," 4,835 "," 5,722 "," 5,161 "," 3,352 "," 2,510 "," 3,179 "," 2,063 "," 2,941 "," 3,286 "," 2,119 "," 5,622 "," 10,130 "," 12,093 "," 9,823 "," 7,077 "," 8,043 "," 6,153 "," 9,520 "," 8,670 "," 7,219 "," 6,689 "," 5,632 "," 5,611 "," 3,437 "," 3,515 "," 3,395 "," 5,619 "," 4,114 "," 3,127 "," 4,065 "," 5,121 "," 5,485 "," 5,590 "," 4,901 "," 4,535 "," 2,228 "," 5,004 "," 7,565 "," 7,323 "," 6,904 "," 6,039 "," 6,873 "," 6,481 "," 6,695 "," 6,358 "," 6,109 "," 4,937 "," 4,366 "," 3,933 "," 5,857 "," 5,305 "," 7,049 "," 7,989 "," 7,643 "," 6,879 "," 7,211 "," 8,097 "," 7,050 "," 5,534 "," 4,900 "," 5,645 "," 7,516 "," 7,235 "," 6,068 "," 7,734 "," 637,544 ",,,,,,,,,,,,,,,,
내수,BongoⅢ (Truck)," 4,847 "," 4,165 "," 5,730 "," 4,921 "," 5,072 "," 5,839 "," 5,796 "," 4,646 "," 3,114 "," 2,654 "," 4,924 "," 5,075 "," 4,843 "," 5,421 "," 6,031 "," 5,701 "," 5,319 "," 5,019 "," 5,516 "," 4,738 "," 5,400 "," 4,207 "," 5,354 "," 4,635 "," 4,832 "," 4,411 "," 5,443 "," 5,300 "," 5,456 "," 4,880 "," 5,188 "," 4,700 "," 4,049 "," 5,354 "," 5,339 "," 4,302 "," 4,953 "," 3,989 "," 5,697 "," 5,891 "," 5,379 "," 5,090 "," 6,040 "," 4,968 "," 3,304 "," 5,282 "," 4,383 "," 4,041 "," 4,319 "," 3,584 "," 6,014 "," 5,412 "," 5,958 "," 5,657 "," 6,251 "," 3,996 "," 6,013 "," 5,883 "," 5,053 "," 3,766 "," 4,330 "," 4,918 "," 7,491 "," 6,697 "," 4,586 "," 5,929 "," 5,163 "," 3,609 "," 3,467 "," 3,515 "," 5,916 "," 4,108 "," 4,520 "," 6,230 "," 4,608 "," 6,402 "," 5,655 "," 4,386 "," 6,407 "," 5,389 "," 5,303 "," 5,872 "," 5,951 "," 4,103 ",,,,,,,,,,,,," 3,074 "," 3,077 "," 4,584 "," 4,404 "," 4,050 "," 3,523 "," 3,487 "," 2,990 "," 2,586 "," 3,183 "," 3,083 "," 2,498 "," 2,419 "," 3,281 "," 469,938 ",,,,,,,,,,,,,,,,
