차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
DE,수출,5,2,,13,2289,2530,2240,825,1930,2495,5487,8133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seltos,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,5,3,9,,453,3317,4589,6822,5019,5184,7270,4333,5360,9585,10799,8288,11096,11540,9034,5834,7865,7909,7301,7157,5147,5981,4944,5091,5808,5073,5178,7134,8095,5703,6295,5963,7411,6524,11257,7926,7403,8670,8521,8660,11408,9238,11414,10348,9390,9030,9444,8691,8332,8786,10674,10338,10285,9445,9129,10435,7970,8683,8261,7561,5641,6032,4060,9534,8336,8589
Soul,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13795,10178,13348,14744,14755,13425,13822,8826,9810,7841,10588,7758,7466,7742,10449,5531,3980,4798,8111,5305,9095,8739,7398,5307,7686,7614,8902,11024,6996,9750,8913,7171,5572,6501,7607,8385,6955,3286,5244,7060,5129,6255,8964,6449,5180,5771,7990,7907,7826,6637,6533,6596,6898,6394,5469,4075,4330,4089,4767,4921,6594,5008,6049,5712,5361,5312,5240,4814,3167,4551,2402,5810,5377,6693
EV9,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,11,3,30,2254,4852,3957,8081,7884,4496,2527,3371,1817,2578,1484,1702,1322,1178,925,740,553,1117,1697
K7 / K8 / Cadenza,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,15,62,53,123,188,289,197,109,164,193,188,220,191,311,108,193,164,195,131,55,53,141,184,288,144,115,309,321,103,10,,,49,5,115,85,30
Seltos,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7865,7909,7301,7157,5147,5981,4944,5091,5808,5073,5178,7134,8095,5703,6295,5963,7411,6524,11257,7926,7403,8670,8521,8660,11408,9238,11414,10348,9390,9030,9444,8691,8332,8786,10674,10338,,,,,,,,,,,,,,
Soul,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7686,7614,8902,11024,6996,9750,8913,7171,5572,6501,7607,8385,6955,3286,5244,7060,5129,6255,8964,6449,5180,5771,7990,7907,7826,6637,6533,6596,6898,6394,5469,4075,4330,4089,4767,4921,,,,,,,,,,,,,,
Niro Plus,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,410,928,1175,1426,1268,1317,841,818,762,464,822,846,384,693,586,783,,47,,,,,,,,,,,,,,
EV6,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,9,10,8,3760,3716,4234,2607,4110,6263,5100,4978,4257,4494,3768,6557,3106,3828,4343,5474,6391,6919,6873,8063,6727,7777,7838,7647,5968,3706,4291,7012,6044,8137,6545,7166,4692,4701,2051,2679,1426,897,1415,1461,1318,1357,2603
Bongo,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,36,15,35,107,277,192,180,213,186,94,81,1,51,23,24,3,5,4,117,119,10,21,104,17,3
K7 / Cadenza,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,202,,1,54,142,199,59,104,124,61,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV3,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,4,20,2,1424,6158,7993,9098,8500,7646,8028
EV4,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2
Tasman,수출,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,9,3,2,12
