차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Niro,내수,,,,,,,,,,,,,973,1326,2183,1896,1922,1833,2228,1420,2418,1460,3062,2926,1516,1658,1982,1403,1687,1536,1908,2723,1999,2099,2280,2020,1209,1774,2771,2953,3080,3130,2620,1721,1414,1610,1741,2223,1141,1935,2279,2300,2227,2272,1418,1498,1661,1334,1888,1286,764,1070,1483,1318,1741,2312,1502,1900,1765,1896,1438,1315,1224,2569,2413,3613,2687,2882,1955,1489,1426,1098,1738,1684,1269,1588,2219,2120,1990,1992,1614,1694,1681,1595,1541,1256,1239,940,1051,1815,1709,1333,1199,1109,870,958,1162,1185,571,853
Niro Plus,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,939,923,832,935,544,260,77,,292,460,475,462,298,303,115,103,218,120,70,2,,86,123,67,65,14,43,3,3,1,1,,1
EV6,내수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,2654,2762,2202,1495,115,1706,2689,2976,2864,1808,3049,1672,2281,2175,2280,1237,,1951,3009,2694,1894,1379,1398,948,601,1564,1096,693,29,155,1275,1036,1380,1430,1344,599,324,557,770,155,72,1100
Sportage,내수,4754,3750,4924,4548,4791,4977,3007,3632,3658,4064,3968,3804,2457,2923,4452,3940,3634,3517,3446,2835,3337,3200,4011,4480,3353,2699,3147,2726,2856,2943,3245,3786,3047,3248,3388,2935,2755,2214,2673,2628,3320,2579,1860,1485,1745,2260,2564,2188,1175,1165,1615,1749,1509,2455,1272,1472,1263,1425,1658,1667,1143,1366,787,1167,836,1187,3079,6571,4386,4258,7540,7442,4455,3781,4919,4556,4542,4513,3406,3873,4441,4950,5762,6196,5492,5689,6018,6282,6185,6418,6625,5210,5402,4707,5982,5739,5934,6991,6736,7179,6644,5815,6235,5988,4541,5531,4233,8428,6547,6568
Sorento,내수,7567,5140,7611,8256,7988,7350,5483,4704,6436,6525,6363,7292,5191,5055,6328,5343,5507,6176,6017,7768,10016,6200,8107,6750,5906,5853,6965,5237,5559,6318,6056,4759,3943,5346,6113,5145,3617,4157,5626,4452,4548,4281,3166,3476,3743,4581,5600,5078,1830,1998,3875,9270,9298,11596,9488,6116,9151,7261,7009,5383,7480,4945,8357,6228,6883,6081,6339,3974,3820,5363,4903,5561,5066,4776,5435,5551,5356,5593,6940,5674,5335,5127,6656,7393,4611,4745,6890,6835,6499,6978,5678,7176,10190,8777,9364,8068,9284,8671,8974,7865,7487,7307,7596,3502,6628,7962,10434,8828,7454,9067
Mohave,내수,,1054,1929,1664,1382,1662,1220,641,890,748,2066,1803,1425,1340,1096,1591,1783,1494,1217,1014,1205,937,1118,985,883,1035,957,739,637,673,544,414,154,467,717,617,391,180,240,159,129,131,322,434,1754,2283,1468,1747,1428,621,2549,2143,1719,2548,1632,1361,1288,1370,1671,1268,896,975,1189,1333,1243,932,971,665,528,588,529,1020,406,950,852,1497,1208,1095,1125,1114,1166,980,698,542,482,504,710,483,318,510,459,379,317,293,313,252,291,241,298,257,224,288,197,204,118,98,78,,,
New Soul,내수,109,126,217,242,169,256,174,148,245,293,230,150,109,213,217,164,241,292,199,156,333,213,746,126,96,134,297,305,236,445,357,328,117,38,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Carens,내수,191,218,270,186,207,314,220,340,266,366,307,360,159,206,230,279,321,250,220,212,240,194,236,258,185,143,187,211,199,230,228,193,135,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnival,내수,5820,3640,6075,5490,5065,5948,6773,4886,3927,5344,7178,5781,5166,5237,6514,6302,6160,6573,6261,5247,6011,4221,5655,5039,4669,3096,5708,8828,8002,7059,7474,6918,5760,6829,6571,5448,5678,4312,5718,6110,6109,5909,5518,4780,3854,4835,5722,5161,3352,2510,3179,2063,2941,3286,2119,5622,10130,12093,9823,7077,8043,6153,9520,8670,7219,6689,5632,5611,3437,3515,3395,5619,4114,3127,4065,5121,5485,5590,4901,4535,2228,5004,7565,7323,6904,6039,6873,6481,6695,6358,6109,4937,4366,3933,5857,5305,7049,7989,7643,6879,7211,8097,7050,5534,4900,5645,7516,7235,6068,7734
BongoⅢ (Truck),내수,4847,4165,5730,4921,5072,5839,5796,4646,3114,2654,4924,5075,4843,5421,6031,5701,5319,5019,5516,4738,5400,4207,5354,4635,4832,4411,5443,5300,5456,4880,5188,4700,4049,5354,5339,4302,4953,3989,5697,5891,5379,5090,6040,4968,3304,5282,4383,4041,4319,3584,6014,5412,5958,5657,6251,3996,6013,5883,5053,3766,4330,4918,7491,6697,4586,5929,5163,3609,3467,3515,5916,4108,4520,6230,4608,6402,5655,4386,6407,5389,5303,5872,5951,4103,,,,,,,,,,,,,3074,3077,4584,4404,4050,3523,3487,2990,2586,3183,3083,2498,2419,3281
