통계표,코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.1.2.1. 주요국 통화의 대원화환율,7,원/벨기에프랑,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,8,원/오스트리아실링,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,8,원/오스트리아실링,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,9,원/네덜란드길더,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,9,원/네덜란드길더,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,10,원/스페인페세타(100페세타),100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,10,원/스페인페세타(100페세타),200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,11,원/핀란드마르카,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,11,원/핀란드마르카,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,12,원/영국파운드,100,평균자료,원 ,원자료,1496.93,1540.94,1568.03,1549.38,1581.05,1574.02,1580,1601.11,1608.1,1619.52,1593.19,1575.26,1620.01,1622.91,1608.01,1596.83,1580.34,1572.84,1568.94,1580.55,1574.82,1614.25,1597.94,1577.49,1522.9,1536.58,1584.81,1642.03,1658.03,1638.27,1656.51,1676.1,1652.78,1644.58,1626.1,1650.23,1681.56,1682.4,1692.21,1711.96,1726.09,1755.05,1778.05,1751.71,1763.75,1774.08,1777.61,1813.97,1795.49,1811.97
3.1.2.1. 주요국 통화의 대원화환율,12,원/영국파운드,200,말일자료,원 ,원자료,1529.96,1553.2,1557.66,1544.55,1583.21,1564.03,1603.03,1602.16,1591.14,1616.42,1588.53,1600.25,1609.53,1605.12,1590.81,1581.86,1575.69,1567.32,1587.36,1570.65,1598.37,1645.96,1591.14,1527.67,1517.32,1589.31,1614.95,1674.41,1640.72,1655.51,1645.38,1681.15,1634.54,1645.82,1636.39,1641.79,1689.6,1688.98,1700.34,1731.85,1752.15,1755.95,1777.48,1757.99,1765.56,1792.76,1769.6,1843.67,1779.87,1814.4
3.1.2.1. 주요국 통화의 대원화환율,13,원/캐나다달러,100,평균자료,원 ,원자료,862.93,875.53,899.66,894.96,926.24,918.25,914.11,921.34,924.67,950.63,942.7,924.96,946.46,941.86,965.2,976.64,987.55,996.14,1010.83,1020.79,1044.02,1041.87,1013.94,954.09,927.91,945.81,954.08,979.32,983.21,975.76,972.88,979.04,981.52,985.5,955.06,970.73,986.67,986.86,983.04,1000.83,998.82,1007.31,1009.16,990.53,986.36,988.4,997.77,1007.47,1011.82,1010.78
3.1.2.1. 주요국 통화의 대원화환율,13,원/캐나다달러,200,말일자료,원 ,원자료,868.98,879.19,897.72,901.75,924.22,911.25,922.24,923.83,928.57,948.71,936.81,930.61,944.1,942.96,970.15,991.06,984.28,1003.03,1018.19,1029.49,1048.83,1042.91,979.8,935.38,917.49,970.57,964.24,985.51,972.17,990.72,966,976.28,994.56,978.52,948.56,974.64,992.95,982.58,994.83,1008.93,1006.03,1013.76,999.71,990.1,976.58,994.64,995.22,1023.96,988.07,997.44
3.1.2.1. 주요국 통화의 대원화환율,14,원/스위스프랑,100,평균자료,원 ,원자료,1237.98,1238.41,1217.25,1212.62,1244.06,1236.1,1245.89,1269.16,1269.36,1281.21,1283.08,1285.73,1300.72,1298.66,1312.98,1306.58,1295.54,1315.51,1348.73,1377.12,1428.92,1433.43,1410.98,1389.31,1348.82,1374.5,1410.57,1468.17,1480.94,1440.27,1470.81,1501.65,1483.99,1497.17,1468.74,1505.26,1542.97,1519.54,1498.89,1503.99,1500.93,1544.96,1549.31,1578.12,1574.63,1578.86,1583.85,1610.14,1599.05,1599.37
3.1.2.1. 주요국 통화의 대원화환율,14,원/스위스프랑,200,말일자료,원 ,원자료,1254.33,1225.09,1203.1,1217.99,1240.28,1226.79,1267.08,1269.38,1267.82,1285.04,1293.1,1297.47,1291.58,1296.71,1311.74,1305.77,1300.28,1354.03,1365.45,1383.54,1470.53,1424.28,1395.19,1372.87,1327.61,1407.85,1427.41,1498.69,1458.98,1459.72,1471.52,1505.01,1468.76,1499.28,1475.67,1526.82,1544.07,1518.07,1493.79,1513.56,1523.86,1545.79,1568.42,1576.23,1569.36,1596.51,1580.04,1626.38,1574.97,1599.82
3.1.2.1. 주요국 통화의 대원화환율,17,원/호주달러,100,평균자료,원 ,원자료,848.05,861.82,872.03,861.52,871.86,857.78,849.98,847.17,857.31,875.79,865.71,847.1,859.05,858.32,900.69,909.6,894.04,896.57,896.51,916.61,929.6,907.42,898.07,874.34,864.78,878.31,871.75,883.79,883.39,870.63,866.22,856.15,854.3,857.19,850.54,871.56,879.9,869.49,872.97,889.49,904.8,916.76,923.83,900.26,903.75,910.96,911.08,909.94,905.35,910.99
3.1.2.1. 주요국 통화의 대원화환율,17,원/호주달러,200,말일자료,원 ,원자료,855.51,873.09,861.35,860.62,860.77,848.86,849.36,849.37,850.34,882.64,852.45,858.89,846.43,862.94,909.01,901.78,896.1,889.52,912.34,924.12,933.12,908.49,889.64,858.41,866.54,887.8,874.59,887.95,861.74,869.01,851.97,856.14,860,861.6,853.51,880.08,878.2,866.57,877.44,904.98,912.69,923.4,905.6,907.67,912.44,909.45,906.62,913.68,889.79,897.73
3.1.2.1. 주요국 통화의 대원화환율,26,원/뉴질랜드달러,100,평균자료,원 ,원자료,789.58,805.33,807.46,797.04,811.32,797.9,799.3,808.81,826.45,834.54,831.33,803.74,807.61,799.68,838.52,834.62,812.13,810.7,810.41,825.07,825.03,812.23,824.34,822.46,796.48,800.5,810.19,820.19,826.61,795.39,801.05,791.47,787.49,796,784.31,810.27,817.64,816,809.6,814.68,828.89,847.2,835.09,823.16,831.35,825.71,824.21,825.49,818.09,821.53
3.1.2.1. 주요국 통화의 대원화환율,26,원/뉴질랜드달러,200,말일자료,원 ,원자료,799.73,817.56,791.69,802.2,808.6,789.93,805.07,815.2,813.55,842.92,814.26,809.64,792.14,804.49,844.59,823.97,816.81,804.96,821,826.56,823.07,823.62,825.13,804.23,794.11,812.31,816.24,823.5,799.47,796.67,787.97,787.22,799.75,790.17,793.77,816.45,816.26,813.47,804.65,824.19,841.73,844.7,817.54,836.3,837.75,826.31,821.34,828.27,806.8,810.71
3.1.2.1. 주요국 통화의 대원화환율,27,원/중국위안,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,27,원/중국위안,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,30,원/홍콩위안,100,평균자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,30,원/홍콩위안,200,말일자료,원 ,원자료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,15,원/홍콩달러,100,평균자료,원 ,원자료,141.56,143.39,145.66,144.08,144.65,144.46,147.23,149.08,150.33,152.04,151.86,151.78,153.24,153.66,156.09,157.17,161.79,162.75,166.57,168.02,177.29,181.75,174.18,166.45,159.55,161.96,166.37,168.17,169.48,165.57,164.52,168.49,169.8,172.63,167.84,166.99,169.33,170.27,170.1,174.67,174.8,176.7,177.14,173.67,171.3,175.16,179.11,184.51,187.05,185.73
3.1.2.1. 주요국 통화의 대원화환율,15,원/홍콩달러,200,말일자료,원 ,원자료,143.76,142.94,145.79,142.64,143.79,145.55,147.66,149.53,152.19,150.64,153.01,152.03,154.35,154.03,154.69,161.78,158.73,164.77,166.12,171.68,182.78,180.83,170.48,162.55,156.82,167.94,166.09,170.7,168.77,167.48,164.18,168.41,171.95,172.98,165.15,165.06,170.21,170.42,172.1,176.19,176.09,177.9,177.22,171.25,169.76,177.99,179.19,189.3,183.92,185.1
3.1.2.1. 주요국 통화의 대원화환율,31,원/대만달러,100,평균자료,원 ,원자료,39.21,39.8,40.08,39.64,40.24,40.4,40.9,41.64,42.27,42.39,42.54,42.73,43.22,43.02,43,42.43,42.93,43.15,43.82,43.82,44.62,44.67,43.39,42.23,40.99,42.02,42.74,43.21,43.23,42.07,41.26,41.46,41.56,41.85,41.05,41.66,42.42,42.36,42.02,42.32,42.28,42.61,42.4,41.96,41.72,42.39,43.1,44.04,44.3,44.06
3.1.2.1. 주요국 통화의 대원화환율,31,원/대만달러,200,말일자료,원 ,원자료,39.88,39.76,39.83,39.72,40.27,40.51,41.18,41.97,42.59,42.22,42.99,42.84,43.3,42.99,42.48,43.07,42.98,43.48,43.65,44.25,45.34,44.19,43.02,41.27,40.83,43,42.77,43.72,43.23,42.18,40.81,41.47,41.76,41.93,41.23,41.98,42.67,42.13,42.13,42.44,42.52,42.71,42.19,41.88,41.77,43.38,42.89,44.81,43.49,43.74
3.1.2.1. 주요국 통화의 대원화환율,32,원/몽골투그릭,100,평균자료,원 ,원자료,0.39,0.39,0.4,0.39,0.39,0.39,0.4,0.41,0.41,0.42,0.41,0.41,0.42,0.42,0.42,0.4,0.41,0.41,0.42,0.41,0.43,0.42,0.4,0.38,0.36,0.36,0.37,0.38,0.38,0.37,0.37,0.38,0.38,0.39,0.38,0.38,0.39,0.39,0.39,0.4,0.4,0.41,0.41,0.4,0.39,0.4,0.41,0.42,0.43,0.42
3.1.2.1. 주요국 통화의 대원화환율,32,원/몽골투그릭,200,말일자료,원 ,원자료,0.39,0.39,0.4,0.39,0.39,0.4,0.4,0.41,0.41,0.41,0.42,0.41,0.42,0.42,0.41,0.41,0.4,0.41,0.41,0.42,0.43,0.42,0.39,0.37,0.35,0.37,0.37,0.38,0.38,0.38,0.37,0.38,0.39,0.39,0.37,0.38,0.39,0.39,0.4,0.41,0.41,0.41,0.41,0.39,0.39,0.41,0.41,0.43,0.42,0.41
3.1.2.1. 주요국 통화의 대원화환율,33,원/카자흐스탄텡게,100,평균자료,원 ,원자료,2.61,2.65,2.69,2.6,2.63,2.62,2.68,2.73,2.75,2.78,2.74,2.71,2.74,2.76,2.43,2.72,2.94,2.87,2.75,2.78,2.93,3.02,2.94,2.77,2.69,2.81,2.89,2.92,2.98,2.89,2.89,2.91,2.85,2.83,2.83,2.85,2.93,2.96,2.96,3.06,3.09,3.03,2.91,2.83,2.78,2.8,2.81,2.75,2.76,2.86
3.1.2.1. 주요국 통화의 대원화환율,33,원/카자흐스탄텡게,200,말일자료,원 ,원자료,2.63,2.67,2.67,2.59,2.6,2.63,2.7,2.73,2.78,2.74,2.73,2.71,2.77,2.61,2.6,2.84,2.94,2.76,2.72,2.84,3.01,3.03,2.85,2.75,2.67,2.94,2.89,2.94,2.96,2.89,2.88,2.86,2.81,2.87,2.81,2.84,2.97,2.96,3,3.12,3.09,2.98,2.92,2.77,2.74,2.83,2.72,2.8,2.76,2.88
3.1.2.1. 주요국 통화의 대원화환율,28,원/태국바트,100,평균자료,원 ,원자료,36.57,37.06,36.76,35.73,35.92,35.7,35.08,35.04,35.48,35.38,35.76,35.26,35.95,36.76,36.73,36.51,36.9,36.54,36.01,36.76,37.57,37.6,37.4,37.26,37.38,37.41,37.88,38.56,38.86,37.17,37.13,37.67,37.23,37.07,36.95,37.25,37.65,37.14,37.03,37.2,37.29,37.59,38.13,38.93,39.98,40.74,40.48,41.98,42.37,42.82
3.1.2.1. 주요국 통화의 대원화환율,28,원/태국바트,200,말일자료,원 ,원자료,37.18,36.64,36.2,35.5,35.72,35.2,34.92,35.87,34.91,35.3,35.39,35.57,36.11,36.73,36.34,36.86,36.57,36.73,35.78,36.95,37.83,37.45,37.59,36.66,37.48,37.65,38.2,39.28,38.12,36.84,37.37,37.73,36.95,37.67,37.05,37.62,37.61,37.06,36.91,37.27,37.49,37.71,38.6,39.36,40.75,41,40.51,43,42.59,42.29
3.1.2.1. 주요국 통화의 대원화환율,24,원/싱가포르달러,100,평균자료,원 ,원자료,828.05,837.3,842.52,838.37,844.78,841.27,844.57,856.07,868.24,875.42,872.05,868.34,884.09,890.01,898.73,902.77,918.26,922.4,936.7,952.36,984.46,1002.29,982.23,958.18,940.01,954.91,973.81,991.34,991.74,963.39,963.32,976.83,975.74,986.72,971.15,978.24,991.21,990.48,992.81,1008.2,1010.76,1020.85,1027.05,1028.58,1029.11,1037.41,1043.45,1062.53,1067.22,1073.32
3.1.2.1. 주요국 통화의 대원화환율,24,원/싱가포르달러,200,말일자료,원 ,원자료,838.8,836.18,840.97,834.89,843.57,839.96,848.45,865.5,870.13,871.64,871.89,877.14,888.79,884.63,895.13,915.31,911.64,927.97,945.3,963.84,1001.92,1005.92,968.19,943.11,934.76,978.13,982.04,1003.56,978.94,967.96,961.18,978.96,982.07,991.17,967.17,976.86,993.47,990.97,997.67,1013.82,1019.67,1022.75,1031.71,1024.95,1030.37,1046.33,1038.53,1081.08,1059.15,1067.79
3.1.2.1. 주요국 통화의 대원화환율,29,원/인도네시아루피아(100루피아),100,평균자료,원 ,원자료,7.83,7.93,7.86,7.7,7.85,7.83,7.89,8.06,8.21,8.35,8.3,8.26,8.33,8.35,8.51,8.57,8.7,8.69,8.73,8.88,9.29,9.24,8.71,8.31,8.16,8.4,8.54,8.88,8.97,8.68,8.56,8.65,8.67,8.57,8.39,8.41,8.48,8.51,8.48,8.53,8.5,8.45,8.51,8.58,8.71,8.74,8.81,8.95,8.96,8.85
3.1.2.1. 주요국 통화의 대원화환율,29,원/인도네시아루피아(100루피아),200,말일자료,원 ,원자료,7.92,7.87,7.83,7.66,7.81,7.8,7.92,8.1,8.29,8.27,8.33,8.31,8.36,8.37,8.44,8.76,8.56,8.71,8.73,9.08,9.4,9.13,8.46,8.09,8.21,8.63,8.66,9.11,8.82,8.76,8.48,8.67,8.68,8.51,8.37,8.36,8.43,8.5,8.49,8.48,8.47,8.47,8.49,8.66,8.72,8.81,8.79,9.11,8.81,8.75
3.1.2.1. 주요국 통화의 대원화환율,25,원/말레이지아링깃,100,평균자료,원 ,원자료,271.79,274.8,275.27,271.4,272.2,271.28,272.43,274.92,280.91,284.01,283.26,281.02,285.05,286.22,290.68,289.16,289.83,290.24,294.57,295.21,306.4,303.88,295.14,293.62,287.5,291.65,292.17,298.44,294.44,279.97,279.76,286.34,284.28,284.4,279.22,279.6,282.79,279.37,282.17,287.11,289.53,293,295.34,305.9,312.72,316.32,314.42,321.71,324.65,325.42
3.1.2.1. 주요국 통화의 대원화환율,25,원/말레이지아링깃,200,말일자료,원 ,원자료,275.52,274.39,273.07,269.93,269.99,272.19,270.71,280.11,283.15,282.34,281.56,283.85,286.46,286.36,287.98,290.98,285.32,293.86,292.85,301.08,309.52,300.54,295.33,286.49,289.51,294.16,294.81,300.22,287.34,281.02,281.04,284.78,286.74,284.05,277.07,279.85,281.46,279.72,284.56,289.19,292.62,294.35,299.53,309.74,319.9,315.89,313.63,329.23,326.27,323.91
3.1.2.1. 주요국 통화의 대원화환율,34,원/필리핀페소,100,평균자료,원 ,원자료,22.84,23.04,23.28,23.09,23.43,23.3,22.87,23.14,23.32,23.32,23.5,23.53,23.31,23.37,23.43,23.7,24.25,23.79,23.4,23.63,24.15,24.28,23.71,23.29,22.67,23.18,23.85,23.89,23.82,23.23,23.44,23.45,23.42,23.78,23.46,23.46,23.64,23.76,23.82,24.02,23.62,23.5,23.66,23.73,23.8,23.65,23.74,24.56,24.92,24.9
3.1.2.1. 주요국 통화의 대원화환율,34,원/필리핀페소,200,말일자료,원 ,원자료,23.16,22.64,23.36,22.92,23.37,23.28,22.87,23.39,23.31,23.3,23.74,23.23,23.46,23.44,23.29,24.23,23.82,23.49,23.36,23.99,24.51,24.47,23.54,22.7,22.53,23.72,23.96,24.05,23.47,23.68,23.31,23.28,23.54,23.78,23.24,23.19,23.59,23.7,23.96,23.92,23.5,23.65,23.64,23.75,23.58,23.75,23.76,25.41,24.58,24.82
3.1.2.1. 주요국 통화의 대원화환율,35,원/베트남동(100동),100,평균자료,원 ,원자료,4.76,4.83,4.9,4.85,4.87,4.88,4.97,5.08,5.14,5.2,5.22,5.17,5.26,5.27,5.34,5.38,5.5,5.5,5.59,5.63,5.89,5.86,5.49,5.45,5.31,5.38,5.53,5.62,5.66,5.52,5.43,5.52,5.49,5.51,5.38,5.37,5.41,5.44,5.38,5.44,5.37,5.42,5.45,5.41,5.41,5.43,5.49,5.64,5.75,5.69
3.1.2.1. 주요국 통화의 대원화환율,35,원/베트남동(100동),200,말일자료,원 ,원자료,4.83,4.81,4.91,4.8,4.84,4.91,5,5.11,5.21,5.15,5.26,5.21,5.31,5.27,5.3,5.53,5.37,5.56,5.58,5.75,6.02,5.72,5.38,5.37,5.23,5.53,5.55,5.71,5.63,5.57,5.4,5.48,5.51,5.51,5.31,5.32,5.45,5.42,5.43,5.44,5.41,5.46,5.48,5.37,5.36,5.47,5.5,5.77,5.71,5.64
3.1.2.1. 주요국 통화의 대원화환율,36,원/브루나이달러,100,평균자료,원 ,원자료,828.05,837.3,842.52,838.37,844.78,841.27,844.57,856.07,868.24,875.42,872.05,868.34,884.09,890.01,898.73,902.77,918.26,922.4,936.7,952.36,984.46,1002.29,982.23,958.18,940.01,954.91,973.81,991.34,991.74,963.39,963.32,976.83,975.74,986.72,971.15,978.24,991.21,990.49,992.81,1008.2,1010.76,1020.85,1027.05,1028.58,1029.11,1037.41,1043.45,1062.53,1067.22,1073.32
3.1.2.1. 주요국 통화의 대원화환율,36,원/브루나이달러,200,말일자료,원 ,원자료,838.8,836.18,840.97,834.89,843.57,839.96,848.45,865.5,870.13,871.64,871.89,877.14,888.79,884.63,895.13,915.31,911.64,927.97,945.3,963.88,1001.92,1005.92,968.19,943.11,934.76,978.13,982.04,1003.56,978.94,967.96,961.18,978.96,982.07,991.17,967.17,976.86,993.47,990.97,997.67,1013.82,1019.67,1022.75,1031.71,1024.95,1030.37,1046.33,1038.53,1081.08,1059.15,1067.79
3.1.2.1. 주요국 통화의 대원화환율,37,원/인도루피,100,평균자료,원 ,원자료,15.01,15.28,15.54,15.03,15.34,15.26,15.35,15.64,15.9,15.78,15.88,15.7,16.05,15.99,16.02,16.18,16.42,16.36,16.43,16.58,17.35,17.34,16.7,15.73,15.24,15.39,15.87,16.1,16.14,15.78,15.66,15.92,16.01,16.23,15.74,15.66,15.92,16.05,16.03,16.4,16.38,16.53,16.55,16.14,15.93,16.19,16.52,16.89,16.89,16.62
3.1.2.1. 주요국 통화의 대원화환율,37,원/인도루피,200,말일자료,원 ,원자료,15.28,15.24,15.43,14.94,15.41,15.21,15.45,15.89,15.95,15.67,15.9,15.93,15.99,16.02,15.97,16.56,16.06,16.38,16.37,16.91,17.61,17.25,16.31,15.31,15.07,15.94,15.88,16.4,15.99,16,15.56,15.99,16.14,16.25,15.47,15.5,16.01,16.09,16.15,16.52,16.52,16.65,16.53,15.92,15.76,16.45,16.51,17.19,16.56,16.48
3.1.2.1. 주요국 통화의 대원화환율,38,원/파키스탄루피,100,평균자료,원 ,원자료,6.84,6.96,7.24,7.31,7.33,7.17,7.15,7.05,6.95,6.87,6.82,6.66,6.76,6.82,6.78,6.68,6.55,6.22,6.05,5.94,6.01,6.45,6.13,5.75,5.37,4.76,4.66,4.64,4.66,4.53,4.57,4.49,4.45,4.82,4.59,4.6,4.73,4.77,4.78,4.92,4.9,4.95,4.97,4.86,4.8,4.9,5.01,5.16,5.22,5.18
