통계표,코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.1.2.1. 주요국 통화의 대원화환율,27,원/중국위안,100,평균자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,27,원/중국위안,200,말일자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,30,원/홍콩위안,100,평균자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,30,원/홍콩위안,200,말일자료,원 ,원자료,,,,,,,,,,,,,,
3.1.2.1. 주요국 통화의 대원화환율,15,원/홍콩달러,100,평균자료,원 ,원자료,169.33,170.27,170.1,174.67,174.8,176.7,177.14,173.67,171.3,175.16,179.11,184.51,187.05,185.73
3.1.2.1. 주요국 통화의 대원화환율,15,원/홍콩달러,200,말일자료,원 ,원자료,170.21,170.42,172.1,176.19,176.09,177.9,177.22,171.25,169.76,177.99,179.19,189.3,183.92,185.1
3.1.2.1. 주요국 통화의 대원화환율,31,원/대만달러,100,평균자료,원 ,원자료,42.42,42.36,42.02,42.32,42.28,42.61,42.4,41.96,41.72,42.39,43.1,44.04,44.3,44.06
3.1.2.1. 주요국 통화의 대원화환율,31,원/대만달러,200,말일자료,원 ,원자료,42.67,42.13,42.13,42.44,42.52,42.71,42.19,41.88,41.77,43.38,42.89,44.81,43.49,43.74
3.1.2.1. 주요국 통화의 대원화환율,32,원/몽골투그릭,100,평균자료,원 ,원자료,0.39,0.39,0.39,0.4,0.4,0.41,0.41,0.4,0.39,0.4,0.41,0.42,0.43,0.42
3.1.2.1. 주요국 통화의 대원화환율,32,원/몽골투그릭,200,말일자료,원 ,원자료,0.39,0.39,0.4,0.41,0.41,0.41,0.41,0.39,0.39,0.41,0.41,0.43,0.42,0.41
3.1.2.1. 주요국 통화의 대원화환율,33,원/카자흐스탄텡게,100,평균자료,원 ,원자료,2.93,2.96,2.96,3.06,3.09,3.03,2.91,2.83,2.78,2.8,2.81,2.75,2.76,2.86
3.1.2.1. 주요국 통화의 대원화환율,33,원/카자흐스탄텡게,200,말일자료,원 ,원자료,2.97,2.96,3,3.12,3.09,2.98,2.92,2.77,2.74,2.83,2.72,2.8,2.76,2.88
3.1.2.1. 주요국 통화의 대원화환율,28,원/태국바트,100,평균자료,원 ,원자료,37.65,37.14,37.03,37.2,37.29,37.59,38.13,38.93,39.98,40.74,40.48,41.98,42.37,42.82
3.1.2.1. 주요국 통화의 대원화환율,28,원/태국바트,200,말일자료,원 ,원자료,37.61,37.06,36.91,37.27,37.49,37.71,38.6,39.36,40.75,41,40.51,43,42.59,42.29
3.1.2.1. 주요국 통화의 대원화환율,24,원/싱가포르달러,100,평균자료,원 ,원자료,991.21,990.48,992.81,1008.2,1010.76,1020.85,1027.05,1028.58,1029.11,1037.41,1043.45,1062.53,1067.22,1073.32
3.1.2.1. 주요국 통화의 대원화환율,24,원/싱가포르달러,200,말일자료,원 ,원자료,993.47,990.97,997.67,1013.82,1019.67,1022.75,1031.71,1024.95,1030.37,1046.33,1038.53,1081.08,1059.15,1067.79
3.1.2.1. 주요국 통화의 대원화환율,29,원/인도네시아루피아(100루피아),100,평균자료,원 ,원자료,8.48,8.51,8.48,8.53,8.5,8.45,8.51,8.58,8.71,8.74,8.81,8.95,8.96,8.85
3.1.2.1. 주요국 통화의 대원화환율,29,원/인도네시아루피아(100루피아),200,말일자료,원 ,원자료,8.43,8.5,8.49,8.48,8.47,8.47,8.49,8.66,8.72,8.81,8.79,9.11,8.81,8.75
3.1.2.1. 주요국 통화의 대원화환율,25,원/말레이지아링깃,100,평균자료,원 ,원자료,282.79,279.37,282.17,287.11,289.53,293,295.34,305.9,312.72,316.32,314.42,321.71,324.65,325.42
3.1.2.1. 주요국 통화의 대원화환율,25,원/말레이지아링깃,200,말일자료,원 ,원자료,281.46,279.72,284.56,289.19,292.62,294.35,299.53,309.74,319.9,315.89,313.63,329.23,326.27,323.91
3.1.2.1. 주요국 통화의 대원화환율,34,원/필리핀페소,100,평균자료,원 ,원자료,23.64,23.76,23.82,24.02,23.62,23.5,23.66,23.73,23.8,23.65,23.74,24.56,24.92,24.9
3.1.2.1. 주요국 통화의 대원화환율,34,원/필리핀페소,200,말일자료,원 ,원자료,23.59,23.7,23.96,23.92,23.5,23.65,23.64,23.75,23.58,23.75,23.76,25.41,24.58,24.82
3.1.2.1. 주요국 통화의 대원화환율,35,원/베트남동(100동),100,평균자료,원 ,원자료,5.41,5.44,5.38,5.44,5.37,5.42,5.45,5.41,5.41,5.43,5.49,5.64,5.75,5.69
3.1.2.1. 주요국 통화의 대원화환율,35,원/베트남동(100동),200,말일자료,원 ,원자료,5.45,5.42,5.43,5.44,5.41,5.46,5.48,5.37,5.36,5.47,5.5,5.77,5.71,5.64
3.1.2.1. 주요국 통화의 대원화환율,36,원/브루나이달러,100,평균자료,원 ,원자료,991.21,990.49,992.81,1008.2,1010.76,1020.85,1027.05,1028.58,1029.11,1037.41,1043.45,1062.53,1067.22,1073.32
3.1.2.1. 주요국 통화의 대원화환율,36,원/브루나이달러,200,말일자료,원 ,원자료,993.47,990.97,997.67,1013.82,1019.67,1022.75,1031.71,1024.95,1030.37,1046.33,1038.53,1081.08,1059.15,1067.79
3.1.2.1. 주요국 통화의 대원화환율,37,원/인도루피,100,평균자료,원 ,원자료,15.92,16.05,16.03,16.4,16.38,16.53,16.55,16.14,15.93,16.19,16.52,16.89,16.89,16.62
